smiles,group,CYP2C19-sub
CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,training,1
C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,training,1
CN(C)CCC=C1c2ccccc2CCc2ccccc21,training,1
COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,training,1
CN1CCC[C@H]1c1cccnc1,training,1
CN1C(=O)NC(=O)C(C)(C2=CCCCC2)C1=O,training,1
O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,training,1
CCOC(=O)C1(c2ccccc2)CCN(C)CC1,training,1
CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,training,1
C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2O,training,1
Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C,training,1
CN(C)CCCN1c2ccccc2Sc2ccccc21,training,1
Cc1cc(=O)n(-c2ccccc2)n1C,training,1
CNCCC=C1c2ccccc2CCc2ccccc21,training,1
CCCC(C)C1(CC)C(=O)NC(=O)NC1=O,training,1
CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1,training,1
CN1C(=O)CC(C)(c2ccccc2)C1=O,training,1
CCCC(C)(COC(N)=O)COC(=O)NC(C)C,training,1
Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,training,1
CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,training,1
CN(C)CCC(c1ccc(Br)cc1)c1ccccn1,training,1
CCCC(CCC)C(=O)O,training,1
CCC1(c2ccccc2)C(=O)NC(=O)N(C)C1=O,training,1
CCC1(c2ccccc2)C(=O)NCNC1=O,training,1
COc1ccc2c(c1)[C@]13CCCC[C@@H]1[C@H](C2)N(C)CC3,training,1
CN1C(=O)OC(C)(C)C1=O,training,1
C=C[C@H]1CN2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12,training,1
CCC(=O)C1(c2cccc(O)c2)CCN(C)CC1,training,1
CN(C)CCCOc1nn(Cc2ccccc2)c2ccccc12,training,1
CN(C)CCC=C1c2ccccc2COc2ccccc21,training,1
O=C1CN=C(c2ccccn2)c2cc(Br)ccc2N1,training,1
CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1,training,1
CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@@H]1CCC(C)=C[C@@H]21,training,1
O=P1(NCCCl)OCCCN1CCCl,training,1
CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,training,1
COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,training,1
CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,training,1
CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c(/C=N/N5CCN(C)CC5)c(O)c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,training,1
O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,training,1
CN(C)CCOC1=Cc2ccccc2Sc2ccc(Cl)cc21,training,1
CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O,training,1
CC(C)(C)NCC(O)COc1nsnc1N1CCOCC1,training,1
COc1cc([C@@H]2c3cc4c(cc3[C@@H](O[C@@H]3O[C@@H]5CO[C@@H](c6cccs6)O[C@H]5[C@H](O)[C@H]3O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1O,training,1
Cc1cn([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)c(=O)[nH]c1=O,training,1
CCc1cc2c(s1)N(C)C(=O)CN=C2c1ccccc1Cl,training,1
Fc1ccccc1C1=NCC(=S)N(CC(F)(F)F)c2ccc(Cl)cc21,training,1
CN(C)Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2,training,1
CCCCN1CCCCC1C(=O)Nc1c(C)cccc1C,training,1
CCc1cc2c(s1)-n1c(C)nnc1CN=C2c1ccccc1Cl,training,1
COc1ccc(CC(C)NCC(O)c2ccc(O)c(NC=O)c2)cc1,training,1
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3C(=C)C[C@@]21CC,training,1
CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,training,1
O=C(C1CCCCC1)N1CC(=O)N2CCc3ccccc3C2C1,training,1
CN1CCCC(n2nc(Cc3ccc(Cl)cc3)c3ccccc3c2=O)CC1,training,1
CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,training,1
CC1(C)NC(=O)N(c2ccc([N+](=O)[O-])c(C(F)(F)F)c2)C1=O,training,1
NS(=O)(=O)Cc1noc2ccccc12,training,1
O=C(NCCN1CCOCC1)c1ccc(Cl)cc1,training,1
CO[C@H]1O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]([C@H]1C)[C@]42OO3,training,1
COc1ccc2nc(S(=O)Cc3ncc(C)c(OC)c3C)[nH]c2c1,training,1
COc1cc2nc(N3CCN(C(=O)C4COc5ccccc5O4)CC3)nc(N)c2cc1OC,training,1
CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21,training,1
COc1cc(N)c(Cl)cc1C(=O)N[C@@H]1CCN(CCCOc2ccc(F)cc2)C[C@@H]1OC,training,1
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,training,1
CNCC[C@@H](Oc1ccccc1C)c1ccccc1,training,1
O=C1NC(c2ccccc2)(c2ccccc2)C(=O)N1COP(=O)(O)O,training,1
CC(=O)N[C@@H]1[C@@H]([C@@H](O)[C@H](O)CO)O[C@@](Oc2ccc3c(C)cc(=O)oc3c2)(C(=O)O)C[C@H]1O,training,0
CCCCCCCCCCCCCCCCCCCCCCO,training,0
CN1c2c(oc(=O)n(-c3ccccn3)c2=O)-c2ccccc2S1(=O)=O,training,0
CC(CN1c2ccccc2Sc2cccnc21)N(C)C,training,0
CCOC(=O)C1(c2ccccc2)CCN(CCC(C#N)(c2ccccc2)c2ccccc2)CC1,training,0
CCC(=O)[C@@]1(C)[C@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,training,0
Clc1ccc(CSC(Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1,training,0
CCCCCCCCCCCCCCCC(=O)OC[C@@H](COP(=O)(O)OCCN)OC(=O)CCCCCCCCCCCCCCC,training,0
CC(N)=O,training,0
Clc1ccc(C(OCCN2CCCCC2)c2ccccc2)cc1,training,0
Cn1cnc(N)c2ncnc1-2,training,0
CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccc(O)cc3)[C@H]2SC1,training,0
O=c1ccn([C@H]2C[C@@H](O)[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O2)c(=O)[nH]1,training,0
C[C@H](N)C(=O)O,training,0
O=C(NC(=O)c1cc(F)c(F)cc1Cl)Nc1ccc(C(=O)O)cc1OC(F)(F)F,training,0
C[N+](C)(C)CCO.[Cl-],training,0
NCC1CCC(C(=O)O)CC1,training,0
Cc1cc(N)nc(CCNC(=O)c2ccc(C#N)cc2)c1,training,0
CCNC(=O)c1cn2ncnc(Nc3cc(C(=O)NOC)ccc3C)c2c1C,training,0
O=C(O)C(CP(=O)(O)O)=C(Cl)Cl,training,0
O=C(CO)[C@@H](O)[C@H](O)COP(=O)(O)O,training,0
CCN(CC)CCOc1ccc(C(=C(Cl)c2ccccc2)c2ccccc2)cc1,training,0
O=C([O-])[O-].O=C([O-])[O-].O=C([O-])[O-].[La+3].[La+3],training,0
Cc1nc(-c2ccccn2)nc(NCCc2ccccc2)c1Cl,training,0
CC(C)(C)Nc1nc(C(F)(F)F)nc2ccc(-c3cccc(N)c3)cc12,training,0
NC(=O)c1ccc(Nc2nc(OCC3CCCCC3)c3nc[nH]c3n2)cc1,training,0
O=C1CCO1,training,0
C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,training,0
C[N+]1(CC(=O)c2ccc(-c3ccccc3)cc2)[C@H]2CC[C@@H]1CC(OC(=O)[C@H](CO)c1ccccc1)C2,training,0
C[C@H](Cc1cc2c(c(C(N)=O)c1)N(CCCO)CC2)NCCOc1ccccc1OCC(F)(F)F,training,0
O=C(O)C1=C[C@@H](O)[C@H](OS(=O)(=O)O)CO1,training,0
O=C(O)CCc1nc2c(=O)[nH]c(=O)[nH]c2n(C[C@H](O)[C@@H](O)[C@H](O)CO)c1=O,training,0
O=C1CN(S(=O)(=O)/C=C/c2ccc(Cl)s2)CCN1Cc1cc2cnccc2[nH]1,training,0
O=C(O)c1ccc(Cc2ccccc2Cl)o1,training,0
CCCCCC(=O)N[C@@H](CCS)C(=O)O,training,0
O=CN(O)CCOc1cccc(C(=O)c2ccccc2)c1,training,0
CC(C)Nc1cc(NC2CCC(N)CC2)nc2c(C#N)cnn12,training,0
OC(c1ccccc1)(c1ccccc1)C12CC[N+](CCOCc3ccccc3)(CC1)CC2,training,0
CC(=O)O[C@H](C(=O)Nc1cccc2c1C(=O)C(=O)NC2=O)c1cccc(Cl)c1,training,0
CCCOc1ccnc2[nH]cc(-c3ccnc(N)n3)c12,training,0
C[C@H]1CC(=O)NN=C1c1ccc(NC2=C(Cc3cccc(I)c3)C(=O)CCC2)cc1,training,0
Nc1nc(=O)n([C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@@H]2O)cc1Br,training,0
N[C@H](COc1cncc2nc(-c3ccncc3)ccc12)Cc1c[nH]c2ccccc12,training,0
CNS(=O)(=O)Nc1ccc(-c2ccccc2)n(CC(=O)N[C@H](C(=O)C(F)(F)F)C(C)C)c1=O,training,0
COC(=O)[C@@H](C)c1ccc(-c2ccccc2)c(F)c1,training,0
COc1ccc(F)c(F)c1C(=O)c1cnc(NC2CCN(S(C)(=O)=O)CC2)nc1N,training,0
O=C(Nc1ccccc1)Nc1ccccc1,training,0
N#Cc1ccc(C(c2ccc(C#N)cc2)n2cncn2)cc1,training,0
O=C(N/N=C/c1cc(Br)c(O)c(Br)c1O)c1ccc(Cl)cc1,training,0
O=C(O)CCc1c[nH]c2ccccc12,training,0
Cc1cn[nH]c1,training,0
CCC(=O)CCC(C)(C)O,training,0
C=CCN(C)CCCCCCOc1ccc2c(-c3ccc(Br)cc3)coc2c1,training,0
O=C(O)[C@@H](Cc1c[nH]c2ccccc12)NS(=O)(=O)c1ccc(N2CCC(c3ccccc3)CC2)cc1,training,0
O=C(O)CCCc1cccs1,training,0
COc1ccc(S(=O)(=O)N2CCc3cc(O)c(OC)cc3[C@@H]2C(=O)NO)cc1,training,0
O=S(=O)(CCNCCCO)c1ccc(Nc2nc(OCC3CCCCC3)c3nc[nH]c3n2)cc1,training,0
CC(C)(C)OC(=O)N[C@H](C=O)C1CCCCC1,training,0
Cc1ccc(C(=O)c2ccc(CC(=O)O)n2C)cc1,training,0
Clc1ccc2c(c1Cl)CNCCC2,training,0
CN(C)C=O,training,0
CC[C@H]1[C@@H]2C[C@H]3[C@@H]4N(C)c5ccccc5[C@]45C[C@@H](C2[C@H]5O)N3[C@@H]1O,training,0
CN1CCN(c2ccc(C(=O)Nc3n[nH]c4cn(C(=O)Cc5cccs5)cc34)cc2)CC1,training,0
Cc1cc(C)cc(Oc2c(CSCc3ccco3)c(C)[nH]c(=O)c2I)c1,training,0
CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,training,0
Oc1ccc([C@H]2Sc3cc(O)ccc3O[C@@H]2c2ccc(OCCN3CCCCC3)cc2)cc1,training,0
CC(C)(C)c1cc(C(C)(C)C)c(NC(=O)c2c[nH]c3ccccc3c2=O)cc1O,training,0
CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3,training,0
CC(=O)N1N=C(c2ccccc2Cl)C[C@H]1c1cccc(O)c1,training,0
CNCC(=O)c1nnc(C(C)(C)C)o1,training,0
C[C@@H]1CCN(C(=O)CC#N)C[C@@H]1N(C)c1ncnc2[nH]ccc12,training,0
Cc1ncc(COP(=O)(O)O)c(CNCCCC[C@@H](N)C(=O)O)c1O,training,0
N[C@H](C(=O)O)c1ccc(O[C@H]2O[C@@H](CO)[C@H](O)[C@@H](O)[C@H]2O[C@H]2O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]2O)cc1,training,0
NC(=O)c1cnccn1,training,0
CCC1(CC)C(=O)NCC(C)C1=O,training,0
O=[N+]([O-])c1ccc(OP(=O)(O)Oc2ccc([N+](=O)[O-])cc2)cc1,training,0
OC[C@@H]1O[C@H](O[C@@H]2[C@@H](O)C[C@@H](O)O[C@@H]2CO)[C@@H](O)[C@H](O)[C@H]1O,training,0
CC(=O)O[C@H]1C[C@@H]2CC[C@@H]3[C@H](CC[C@@]4(C)[C@H]3C[C@H]([N+]3(C)CCCCC3)[C@@H]4OC(C)=O)[C@@]2(C)C[C@@H]1N1CCCCC1,training,0
CCN(CC)CC#CCOC(=O)C(O)(c1ccccc1)C1CCCCC1,training,0
Cc1cccc2c(=O)[nH]c(CCCN3CC=C(c4ccc(F)cc4)CC3)nc12,training,0
O=C(NO)[C@@H](O)[C@@H](O)COP(=O)(O)O,training,0
C[C@@H](CC(=O)O)[C@H](N)C(=O)O,training,0
O=C(O)c1sccc1S(=O)(=O)Nc1ccc(Cl)cc1,training,0
c1ccc(C2CC2)c(OCC2=NCCN2)c1,training,0
NC(=O)c1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c1N,training,0
CC(SC(=O)c1cccs1)C(=O)NCC(=O)O,training,0
C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,training,0
NS(=O)(=O)c1ccc(C(=O)NCc2ccc(F)cc2F)cc1,training,0
c1ccc2c(CCc3ccncc3)c[nH]c2c1,training,0
Nc1nc(N)nc(-c2cc3ccccc3cc2Br)n1,training,0
NC(=O)C1=CN([C@@H]2O[C@@H](COP(=O)([O-])OP(=O)([O-])OC[C@@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H]([O-])[C@H]3[O-])[C@H](O)[C@H]2O)C=C[C@H]1n1cc2c(=S)n([C@@H](C(=O)N3CCCCCC3)c3ccccc3)cnc2n1,training,0
CC=CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccc(O)cc3)[C@H]2SC1,training,0
NC(=O)C1=C[N+]=CC([C@@H]2O[C@@H](COP(=O)([O-])OP(=O)(O)OC[C@@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)=C1,training,0
O=C(O)C[C@H](N=C(O)CP(=O)(O)O)C(=O)O,training,0
O=C(O)c1ccccc1/N=N/c1ccc(O)c2ccccc12,training,0
CCC(C)n1ncn(-c2ccc(N3CCN(c4ccc(OC[C@H]5CO[C@](Cn6cncn6)(c6ccc(Cl)cc6Cl)O5)cc4)CC3)cc2)c1=O,training,0
Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1,training,0
CC(C)(COP(=O)(O)OP(=O)(O)OC[C@@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@H]1OP(=O)(O)O)[C@@H](O)C(=O)NCCC(=O)NCC[C@H](F)C(=O)O,training,0
Nc1cccc(-c2cnn3ccc(Nc4cccc(Cl)c4)nc23)c1,training,0
O=c1cc[nH]c(=O)[nH]1,training,0
COCCOc1cc(C)nc(N)n1,training,0
Oc1ccc(C2=Cc3ccc(O)cc3OC2)cc1,training,0
O=P1(N(CCCl)CCCl)NCCCO1,training,1
CSc1ccc2c(c1)N(CCC1CCCCN1C)c1ccccc1S2,training,1
CCCC(C)(COC(N)=O)COC(N)=O,training,1
COc1ccc2[nH]cc(CCNC(C)=O)c2c1,training,1
CN(C)CCOC(c1ccc(Cl)cc1)c1ccccn1,training,1
Cc1cnc(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)NC3CCCCC3)cc2)cn1,training,1
CN/C(=C\[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1,training,1
NC(N)=Nc1nc(CSCCC(N)=NS(N)(=O)=O)cs1,training,1
Cc1ccc(-c2nc3ccc(C)cn3c2CC(=O)N(C)C)cc1,training,1
COc1ccc(-c2oc3ncnc(NCCO)c3c2-c2ccc(OC)cc2)cc1,training,0
CN(C)c1cccc2c(S(=O)(=O)N[C@H](Cc3ccc(OS(=O)(=O)c4cccc5c(N(C)C)cccc45)cc3)C(=O)O)cccc12,training,0
Nc1nc(=O)c2sc(=O)n([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c2[nH]1,training,0
CC12C=CC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)COC(=O)c1cccc(S(=O)(=O)[O-])c1.[Na+],training,0
C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@@]43C)[C@@H]1CC[C@@H]2O,training,0
C[C@H](O)[C@H](CCc1cccc2nc(-c3ccc(Cl)cc3)oc12)n1cnc(C(N)=O)c1,training,0
NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1,training,0
C[C@]12CC[C@H]3[C@@H](CC[C@H]4C[C@@H](O)CC[C@@]43C)[C@@H]1C[C@@H](Br)C2=O,training,0
O=CN1CCCCC1,training,0
Cc1cccc(Nc2ccccc2C(=O)O)c1C,training,0
CCN[C@@H]1CN(CCOC)S(=O)(=O)c2sc(S(N)(=O)=O)cc21,training,0
C=CC(C)(C)OC[C@@H]1O[C@H](O[C@H]2C3=C([C@H](C)COC(C)=O)C[C@@H](O)[C@]3(C)C=C3[C@H](COC)CC[C@@H]3[C@@H](C)[C@@H]2O)[C@@H](O)[C@H](OC(C)=O)[C@H]1O,training,0
CCC1(c2ccccc2)NC(=O)N(C)C1=O,training,1
O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1,training,1
O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,training,1
COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,training,1
C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C,training,1
OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,training,1
CN1[C@H]2CC[C@@H]1CC(OC(c1ccccc1)c1ccccc1)C2,training,1
CN1C(=O)CC(=O)N(c2ccccc2)c2cc(Cl)ccc21,training,1
COc1ccc(C(CN(C)C)C2(O)CCCCC2)cc1,training,1
N=C(N)c1ccc(C=Cc2ccc(C(=N)N)cc2O)cc1.O=S(=O)(O)CCO.O=S(=O)(O)CCO,training,0
O=C1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5,training,0
COc1ccc(N2CCN(c3cccc(C)c3)CC2)nn1,training,0
O=C(N[C@@H]1Cc2ccccc2[C@H]1O)c1cc2cc(Cl)sc2[nH]1,training,0
O=S1(=O)NCCCNc2nc(ncc2Br)Nc2cccc1c2,training,0
N=C(O)CN1CCCC1=O,training,0
O=C(O)[C@@H](CF)OP(=O)(O)O,training,0
NC(=O)c1c[n+]([C@@H]2O[C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)ccc1[C@H](O)C(=O)C[C@H](N)C(=O)O,training,0
CC(C)(C)c1snc([O-])c1C[C@H]([N+])C(=O)O,training,0
Cc1ccc(-n2nccn2)c(C(=O)N2CCN(c3nc4cc(Cl)ccc4o3)CC[C@H]2C)c1,training,0
CCCc1cc(=O)[nH]c(=S)[nH]1,training,0
CCC[C@H]1COc2ccsc2C(=N)N1,training,0
CN[C@@H]1C[C@H](C)S(=O)(=O)c2sc(S(N)(=O)=O)cc21,training,0
NNCCc1ccccc1,test,1
O=C(N[C@H](CO)[C@H](O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,test,1
CCOc1ccc(NC(C)=O)cc1,test,1
COc1cc(CNC(=O)CCCC/C=C/C(C)C)ccc1O,test,1
CC(C)/N=C(\N)N=C(N)Nc1ccc(Cl)cc1,test,1
C#CCN(C)C(C)Cc1ccccc1,test,1
CC(C)Cc1ccc(C(C)C(=O)O)cc1,test,1
COC(=O)[C@@H](NC(=O)[C@@H](NC(=O)CC[C@H](O)[C@H](Cc1ccccc1)NC(=O)[C@@H](C)NC(=O)[C@H](C)N)C(C)C)C(C)C,test,0
COc1ccc(CC(N)=O)cc1,test,0
NC(N)=NCc1cccc(I)c1,test,0
COc1ccc(S(=O)(=O)N[C@H](C)C(=O)O)cc1,test,0
N[C@@H](CSCCC(=O)c1ccc(Cl)c(Cl)c1)C(=O)O,test,0
O[C@H](CCCl)c1ccccc1,test,0
N#C[C@@H](O)c1ccccc1,test,0
CC(C)c1cccc(C(C)C)c1O,test,1
N[C@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O,test,1
CC(=O)N[C@H]1[C@H](O)[C@@H](F)[C@H](C(=O)O)O[C@H]1[C@H](O)[C@@H](O)CO,test,0
N[C@H]1[C@H](O)O[C@H](CO)[C@@H](OP(=O)(O)O)[C@@H]1O,test,0
CC(=O)N[C@@H](Cc1cccc2ccccc12)[B-](O)(O)O,test,0
CNCCCN1c2ccccc2CCc2ccccc21,test,1
CN(C)CCCN1c2ccccc2CCc2ccccc21,test,1
CN1C(=O)C(O)N=C(c2ccccc2)c2cc(Cl)ccc21,test,1
CN1C(=O)CN=C(c2ccccc2F)c2cc([N+](=O)[O-])ccc21,test,1
CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,val,1
CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1,val,1
CC(C)C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1,val,1
CN(C)c1ccc(C(=O)O)cc1,val,0
CC(=O)Nc1ccc(C(=O)O)cc1N,val,0
COCCCCC(=NOCCN)c1ccc(C(F)(F)F)cc1,val,0
CN(C)C(=O)Oc1cccc([N+](C)(C)C)c1,val,0
COc1cccc(C=O)c1OP(=O)(O)O,val,0
COC[C@@H](O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)OCc1ccccc1,val,0
COc1ccc(/C=C/C(=O)O)cc1O,val,0
CC(=O)C(N)Cc1ccccc1,val,0
NCCc1ccc(O)c(O)c1,val,1
O=P(O)(O)OCCNS(=O)(=O)c1ccc(OC(F)(F)F)cc1,val,0
COCCc1ccc(OCC(O)CNC(C)C)cc1,val,1
O=C(O)/C=C/c1ccc(B(O)O)cc1,val,0
CC(=O)N[C@H]1[C@H](O)O[C@H](CO)[C@@H](OS(=O)(=O)O)[C@@H]1O,val,0
OC1OC[C@H](O)[C@@H](O)[C@@H]1O,val,0
CC(C)NCC(O)COc1cccc2ccccc12,val,1
CN(C/C=C/C#CC(C)(C)C)Cc1cccc2ccccc12,val,1
CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,val,1
CC(CN(C)C)CN1c2ccccc2CCc2ccccc21,val,1
O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)=NC1O,val,0
CN1C(=O)CN=C(c2ccccc2F)c2cc(Cl)ccc21,val,0
CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,val,1
