smiles,group,CYP2D6-sub
CCCSc1ccc2nc(NC(=O)OC)[nH]c2c1,training,1
CN(C)CCc1c[nH]c2ccc(CS(=O)(=O)N3CCCC3)cc12,training,1
CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1,training,1
Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C,training,1
CN(C)CCC=C1c2ccccc2CCc2ccccc21,training,1
CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O,training,1
Clc1ccc2c(c1)C(N1CCNCC1)=Nc1ccccc1O2,training,1
CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CCOC1)S(=O)(=O)c1ccc(N)cc1,training,1
CCN(CC)CCCN(c1ccccc1)C1Cc2ccccc2C1,training,1
O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,training,1
C[C@@H]1CC[C@H]2[C@@H](C)C(=O)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@]32OO4,training,1
COc1ccc(CCN2CCC(Nc3nc4ccccc4n3Cc3ccc(F)cc3)CC2)cc1,training,1
CNS(=O)(=O)Cc1ccc2[nH]cc(CCCN3CCN(c4ncncc4OC)CC3)c2c1,training,1
CN1CCC[C@H](n2nc(Cc3ccc(Cl)cc3)c3ccccc3c2=O)CC1,training,1
CC(C)NC[C@H](O)COc1ccc(CCOCC2CC2)cc1,training,1
CC(C)C[C@@H](NC(=O)[C@@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O,training,1
COc1cc(OC)c(C(=O)CCCN2CCCC2)c(OC)c1,training,1
CO[C@]12CC[C@@]3(C[C@@H]1[C@](C)(O)C(C)(C)C)[C@H]1Cc4ccc(O)c5c4[C@@]3(CCN1CC1CC1)[C@@H]2O5,training,1
C[C@H](CS)C(=O)N1CCC[C@H]1C(=O)O,training,1
NC(=O)N1c2ccccc2C=Cc2ccccc21,training,1
CC(C)(C)NC[C@H](O)COc1cccc2c1CCC(=O)N2,training,1
COc1ccccc1OCCNC[C@H](O)COc1cccc2[nH]c3ccccc3c12,training,1
C[C@H]1O[C@]2(CS1)CN1CCC2CC1,training,1
Oc1nc2cc(Cl)ccc2o1,training,1
CN(C)CC[C@H](c1ccc(Cl)cc1)c1ccccn1,training,1
CCOP(=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl,training,1
c1ccc(C2(c3ccccc3)C[C@H]2C2=NCCN2)cc1,training,1
COc1cc(N)c(Cl)cc1C(=O)N[C@H]1CCN(CCCOc2ccc(F)cc2)C[C@H]1OC,training,1
CN(C)CCC[C@@]1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,training,1
OCCN1CCN(CC/C=C2/c3ccccc3Sc3ccc(Cl)cc32)CC1,training,1
CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,training,1
COc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)N(C)CC[C@]314,training,1
CN(C)CCC=C1c2ccccc2C=Cc2ccccc21,training,1
O=P1(N(CCCl)CCCl)NCCCO1,training,1
Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,training,1
N=C(N)N1CCc2ccccc2C1,training,1
CC(C)Nc1cccnc1N1CCN(C(=O)c2cc3cc(NS(C)(=O)=O)ccc3[nH]2)CC1,training,1
CNCCCN1c2ccccc2CCc2ccccc21,training,1
COc1ccc2c(c1)[C@@]13CCCC[C@H]1[C@@H](C2)N(C)CC3,training,1
COc1ccc2c3c1O[C@H]1[C@@H](O)CC[C@H]4[C@@H](C2)N(C)CC[C@]314,training,1
COc1ccc([C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(C)=O)cc1,training,1
O=C(OC1C[C@@H]2CC3C[C@H](C1)N2CC3=O)c1c[nH]c2ccccc12,training,1
COc1cc2c(cc1OC)C(=O)[C@H](CC1CCN(Cc3ccccc3)CC1)C2,training,1
CN(C)CC/C=C1/c2ccccc2COc2ccccc21,training,1
COc1ccc(C(=O)Nc2ccccc2CC[C@H]2CCCCN2C)cc1,training,1
C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,training,1
CCOc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)N(C)CC[C@]314,training,1
CCc1nn(CCCN2CCN(c3cccc(Cl)c3)CC2)c(=O)n1CC,training,1
Cc1ccc(-c2ncc(Cl)cc2-c2ccc(S(C)(=O)=O)cc2)cn1,training,1
O=C(NC[C@H]1CCCCN1)c1cc(OCC(F)(F)F)ccc1OCC(F)(F)F,training,1
Fc1ccc(C(c2ccc(F)cc2)N2CCN(C/C=C/c3ccccc3)CC2)cc1,training,1
CNCC[C@@H](Oc1ccc(C(F)(F)F)cc1)c1ccccc1,training,1
COc1ccc2c3c1O[C@H]1C[C@@H](O)C=C[C@@]31CCN(C)C2,training,1
CC1(C)CC(=O)N(CCCCN2CCN(c3ncccn3)CC2)C(=O)C1,training,1
N=C(N)NC[C@@H]1COc2ccccc2O1,training,1
CCCCN(CCCC)CC[C@H](O)c1cc2c(Cl)cc(Cl)cc2c2cc(C(F)(F)F)ccc12,training,1
O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,training,1
FC(F)(F)[C@H](Cl)Br,training,1
COc1ccc2c3c1O[C@H]1C(=O)CC[C@H]4[C@@H](C2)N(C)CC[C@]314,training,1
COc1cc(C(C)=O)ccc1OCCCN1CCC(c2noc3cc(F)ccc23)CC1,training,1
CN(C)CCCN1c2ccccc2CCc2ccccc21,training,1
O=C(NC1CCN(CCc2c[nH]c3ccccc23)CC1)c1ccccc1,training,1
C[C@@H](CCc1ccccc1)NC[C@H](O)c1ccc(O)c(C(N)=O)c1,training,1
CCN(CC)C(=O)N[C@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1,training,1
CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1,training,1
CNCCCC12CCC(c3ccccc31)c1ccccc12,training,1
c1ccc2c(c1)Sc1ccccc1N2C[C@H]1CN2CCC1CC2,training,1
CN1CCN2c3ccccc3Cc3ccccc3[C@@H]2C1,training,1
CO/N=C\C1=CCCN(C)C1,training,1
Cc1cc(-c2ccccc2)nnc1NCCN1CCOCC1,training,1
CN1CCN2c3ccccc3Cc3cccnc3[C@@H]2C1,training,1
CN(c1nccc(=O)[nH]1)C1CCN(c2nc3ccccc3n2Cc2ccc(F)cc2)CC1,training,1
CCc1c(C)[nH]c2c1C(=O)[C@@H](CN1CCOCC1)CC2,training,1
CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5,training,1
Cc1c(O)cccc1C(=O)N[C@@H](CSc1ccccc1)[C@H](O)CN1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)NC(C)(C)C,training,1
Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1,training,1
CN1CCC[C@H]1c1cccnc1,training,1
COc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)NCC[C@]314,training,1
CNCCC=C1c2ccccc2CCc2ccccc21,training,1
Cc1cc2c(s1)Nc1ccccc1N=C2N1CCN(C)CC1,training,1
Cc1nccn1C[C@H]1CCc2c(c3ccccc3n2C)C1=O,training,1
OCCN1CCN(CCCN2c3ccccc3C=Cc3ccccc32)CC1,training,1
COc1ccc2c3c1O[C@H]1C(=O)CC[C@@]4(O)[C@@H](C2)N(C)CC[C@]314,training,1
COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC,training,1
Fc1ccc([C@@H]2CCNC[C@H]2COc2ccc3c(c2)OCO3)cc1,training,1
CC(C)(C)NC[C@H](O)COc1ccccc1C1CCCC1,training,1
CC(C)=CCN1CC[C@]2(C)c3cc(O)ccc3C[C@H]1[C@H]2C,training,1
O=C1[C@H]2CCCC[C@H]2C(=O)N1CCCCN1CCN(c2nsc3ccccc23)CC1,training,1
O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,training,1
C[C@H](N/C(=N\C#N)Nc1ccncc1)C(C)(C)C,training,1
O=C(C1CCCCC1)N1CC(=O)N2CCc3ccccc3[C@H]2C1,training,1
CC(=O)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,training,1
CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,training,1
CCCNC[C@H](O)COc1ccccc1C(=O)CCc1ccccc1,training,1
CN1CCCN=C1/C=C\c1cccs1,training,1
OCCOCCN1CCN(C2=Nc3ccccc3Sc3ccccc32)CC1,training,1
CCN1CCC[C@H]1CNC(=O)c1c(OC)ccc(Br)c1OC,training,1
Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2,training,1
CC(C)c1nc(CN(C)C(=O)N[C@H](C(=O)N[C@@H](Cc2ccccc2)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1,training,1
CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)c1ccc2ccccc2n1,training,1
O=C1NCCN1CCN1CCC(c2cn(-c3ccc(F)cc3)c3ccc(Cl)cc23)CC1,training,1
CCCc1nn(C)c2c(=O)nc(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)[nH]c12,training,1
C1CCN2C[C@H]3C[C@H](CN4CCCC[C@H]34)[C@@H]2C1,training,1
CCOc1ccccc1OCCN[C@H](C)Cc1ccc(OC)c(S(N)(=O)=O)c1,training,1
CN(C)S(=O)(=O)CCNC(=O)N(CCCl)N=O,training,1
CC(C)(C)c1ccc([C@H](O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,training,1
CCN(CC)C(=O)N[C@H]1C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1,training,1
C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2O,training,1
CSc1ccc2c(c1)N(CC[C@@H]1CCCCN1C)c1ccccc1S2,training,1
Cc1ccsc1C(=CCCN1CCC[C@@H](C(=O)O)C1)c1sccc1C,training,1
CC(C)(C)NC[C@H](O)COc1nsnc1N1CCOCC1,training,1
Cc1ccc(C(=O)[C@H](C)CN2CCCCC2)cc1,training,1
CNCC[C@@H](Oc1ccccc1C)c1ccccc1,training,1
O=c1n(CCCN2CCN(c3cccc(Cl)c3)CC2)nc2ccccn12,training,1
O=C(CCCN1CCC(O)(c2cccc(C(F)(F)F)c2)CC1)c1ccc(F)cc1,training,1
C[C@H](CN(C)C)CN1c2ccccc2CCc2ccccc21,training,1
Cc1c(C)c2c(c(C)c1O)CC[C@](C)(COc1ccc(C[C@@H]3SC(=O)NC3=O)cc1)O2,training,1
CN1[C@H]2CC[C@@H]1CC(OC(=O)c1c[nH]c3ccccc13)C2,training,1
COc1ccc([C@H](CN(C)C)C2(O)CCCCC2)cc1,training,1
CCC1=C[C@@H]2CN(C1)Cc1c([nH]c3ccccc13)[C@@](C(=O)OC)(c1cc3c(cc1OC)N(C)[C@H]1[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]4(CC)C=CCN5CC[C@]31[C@@H]54)C2,training,1
CC(=O)C[C@@H](c1ccccc1)c1c(O)c2ccccc2oc1=O,training,1
COC(=O)[C@H]1[C@@H](O)CC[C@H]2CN3CCc4c([nH]c5ccccc45)[C@@H]3C[C@@H]21,training,1
Cc1ccc(-c2nc3ccc(C)cn3c2CC(=O)N(C)C)cc1,training,1
CN(C)CCOC1=Cc2ccccc2Sc2ccc(Cl)cc21,training,1
Cc1cc2ccccc2c2ccc3ccccc3c12,training,1
Cc1cc(NC(=O)NC(=O)c2ccccc2N(C)C)ccc1Oc1ncc(Br)cn1,training,1
COc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)c(CO)c2)cc1,training,1
C[C@H](C(=O)c1ccc2c(c1)OCO2)N1CCCC1,training,1
COc1ccc(C(=O)[C@H](C)N2CCCC2)cc1,training,1
Cc1ccc(C(=O)[C@@H](C)N2CCCC2)cc1,training,1
CCCCCN(CCCCC)N=O,training,1
CNCC[C@H](Oc1ccccc1C)c1ccccc1,training,1
COc1ccc(-c2coc3cc(O)cc(O)c3c2=O)cc1,training,1
c1ccc(C2(c3ccccc3)C[C@@H]2C2=NCCN2)cc1,training,1
COc1ccc([C@H](CC(=O)O)N2CCN(CCCc3ccc4c(n3)NCCC4)C2=O)cn1,training,1
COC(=O)c1c(C)nc(C)c(C(=O)OC/C=C/c2ccccc2)c1-c1cccc([N+](=O)[O-])c1,training,1
C=CCSSCC=C,training,1
CN1CCC[C@@H]1C[C@@H]1CNc2ccc(CCS(=O)(=O)c3ccccc3)cc21,training,1
Cc1c2ccncc2c(C)c2c1[nH]c1ccccc12,training,1
CC[C@@H]1CN2CCc3cc(OC)c(OC)cc3[C@@H]2C[C@@H]1C[C@H]1NCCc2cc(OC)c(OC)cc21,training,1
Fc1ccc(C(OCCN2CCN(CCCc3ccccc3)CC2)c2ccc(F)cc2)cc1,training,1
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,training,1
COc1ccc2c(c1)[nH]c1c(C)nccc12,training,1
CN1CC[C@@]23c4c5ccc(O)c4O[C@@H]2C(=O)CC[C@@H]3[C@@H]1C5,training,1
COc1ccc(N2CCc3c(NCCO)nc4c(OC(F)(F)F)cccc4c32)c(C)c1,training,1
CN(C)C(=O)C(CCN1CCC(O)(c2ccc(Cl)cc2)CC1)(c1ccccc1)c1ccccc1,training,1
Clc1cccc(N2CCNCC2)c1,training,1
CN1CCN2c3ncccc3Cc3ccccc3[C@H]2C1,training,1
CN1CC=C(c2ccccc2)CC1,training,1
CCCN(CCC)CCc1ccc(OC)c(OCCc2ccccc2)c1,training,1
COc1ccc2[nH]c3c(c2c1)CCNC3,training,1
COc1cccc([C@@H](C)NCCCc2ccccc2Cl)c1,training,1
COCCCOc1ccnc(CSc2nc3ccccc3[nH]2)c1C,training,1
C[C@@H]1O[C@@]2(CS1)CN1CCC2CC1,training,1
COc1ccc(-c2cc(=O)c3c(OC)c(OC)c(OC)c(OC)c3o2)cc1,training,1
C[C@@H]([C@@H](O)c1ccc(O)cc1)N1CCC(O)(c2ccccc2)CC1,training,1
CC1=C(/C=C/C(C)=C\C=C\C(C)=C/C(=O)O)C(C)(C)CCC1,training,1
COCC[C@@H]1C[C@@H]2CN3CCc4c([nH]c5ccccc45)[C@@](C(=O)OC)(C2)[C@@H]13,training,1
Cc1cc2c(s1)Nc1ccccc1N=C2N1CCNCC1,training,1
Nc1cc2c3ccccc3ccc2c2ccccc12,training,1
Cc1cc2c3ccccc3ccc2c2ccccc12,training,1
CCCCCOc1ccc2nc3ccc(=O)cc-3oc2c1,training,1
O=C1Nc2c(O)cc(Cl)cc2[C@@](C#CC2CC2)(C(F)(F)F)O1,training,1
Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCC[C@@H]2O,training,1
COc1ccc(OC(F)(F)F)cc1CN[C@@H]1CCCN[C@H]1c1ccccc1,training,1
Oc1ccc(OC(F)(F)F)cc1CN[C@@H]1CCCN[C@H]1c1ccccc1,training,1
COC(OC)[C@@]1(C)Oc2ccc(N)cc2[C@H](N(Cc2nnn(C)n2)c2ccc(Cl)cc2)[C@H]1O,training,1
CC[C@@H](C(=O)c1ccc(C)cc1)N1CCCC1,training,1
CNc1cccc(-c2ccnc3c(C(=O)c4cccs4)cnn23)c1,training,1
O=NN1CCC[C@H]1c1cccnc1,training,1
CCN(CC)N=O,training,1
CN(C)N=O,training,1
CCCCN(C)N=O,training,1
CN(CCCC(=O)c1cccnc1)N=O,training,1
O=C1C=C2CN([C@@H](C(=O)C3CC3)c3ccccc3F)CC[C@H]2S1,training,1
FC(F)(F)c1cccc(N2CCNCC2)c1,training,1
CCNc1ncn(Cc2ccc(OC)c(OC3CCCC3)c2)c2nc(C(C)C)nc1-2,training,1
C[C@H](NC(N)=O)c1cc2ccccc2s1,training,1
C[C@@H](C#Cc1ccc(Cc2ccccc2)s1)NC(N)=O,training,1
C[C@@H](C#Cc1ccc(Cc2ccccc2)s1)N(O)C(N)=O,training,1
CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=O)C(C)(C)CCC1,training,1
CC1=C(/C=C/C(C)=C/C=C/C(C)=C/CO)C(C)(C)CCC1,training,1
Cc1cc(=O)n(-c2ccccc2)n1C,training,1
CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O,training,1
COc1ccc2c(C(=O)c3cc(OC)c(OC)c(OC)c3)c[nH]c2c1,training,1
C=C(C)c1ccc(OC)c(CN[C@H]2C3CCN(CC3)[C@@H]2C(c2ccccc2)c2ccccc2)c1,training,1
c1ccc2c(c1)cc1ccc3cccc4c5ccccc5c2c1c34,training,1
COc1cc2c(CCN3CCN(c4cccc(Cl)c4C)CC3)nn(Cc3c[nH]cn3)c2cc1OC,training,1
COc1ccc(-c2cc(=O)c3c(O)c(OC)c(O)cc3o2)cc1OC,training,1
COc1ccc(-c2coc3cc(O)ccc3c2=O)cc1,training,1
CC1(C)Cc2c(-c3ccccc3)c(-c3ccc(Cl)cc3)c(CC(=O)O)n2C1,training,1
CN1CCCC[C@@H]1CCN1c2ccccc2Sc2ccc(S(C)=O)cc21,training,1
CSc1nc(-c2ccnc(N[C@H](C)c3ccccc3)c2)c(-c2ccc(F)cc2)[nH]1,training,1
C[C@@H](Nc1cc(-c2nc(S(C)=O)[nH]c2-c2ccc(F)cc2)ccn1)c1ccccc1,training,1
COc1ccc(OC(=O)N(CC(=O)O)Cc2ccc(OCCc3nc(-c4ccccc4)oc3C)cc2)cc1,training,1
Oc1ccccc1-c1ccccc1,training,1
CCOP(=S)(OCC)SCSCC,training,1
OCCc1ccccc1Nc1c(Cl)cccc1Cl,training,1
O=c1c2ccccc2nc2n1CCc1c-2[nH]c2ccccc12,training,1
Clc1ccccc1CN1CCc2sccc2C1,training,1
CN[C@@H]1CN(c2ccc3c(=O)c(C(=O)O)cn(-c4nccs4)c3n2)C[C@H]1OC,training,1
CC[C@@]1(c2ccccc2)NC(=O)N(C)C1=O,training,1
COC(=O)[C@H]1[C@@H](OC(=O)c2ccccc2)C[C@H]2CC[C@@H]1N2C,training,1
CC(=O)OCC[N+](C)(C)C,training,1
CC(=O)[C@@H]1CC[C@@H]2[C@H]3CCC4=CC(=O)CC[C@@]4(C)[C@@H]3CC[C@]12C,training,1
COc1cc2c(cc1OC)[C@@H]1CC(=O)[C@@H](CC(C)C)CN1CC2,training,1
NC(=O)NN=Cc1ccc([N+](=O)[O-])o1,training,1
CN1C2CCC1CC(OC(c1ccccc1)c1ccccc1)C2,training,1
CN(C)CC[C@@H](c1ccc(Br)cc1)c1ccccn1,training,1
CN(C)CCO,training,1
CC(C)(C)CC(C)(C)c1ccc(OCCOCC[N+](C)(C)Cc2ccccc2)cc1,training,1
CCC1(CC)C(=O)NC[C@@H](C)C1=O,training,1
COc1ccc2c(c1)[C@]13CCCC[C@@H]1[C@H](C2)N(C)CC3,training,1
CN(C)CC[C@@H](c1ccc(Cl)cc1)c1ccccn1,training,1
FC(F)(F)[C@@H](Cl)Br,training,1
C(=Cc1ccccc1)CN1CCN(C(c2ccccc2)c2ccccc2)CC1,training,1
CNCCCC1c2ccccc2C=Cc2ccccc21,training,1
COc1ccc2c3c1O[C@H]1C(OC(C)=O)=CC[C@@H]4[C@@H](C2)N(C)CC[C@@]341,training,1
CN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@H]3[C@H]1C5,training,1
CC[C@H]1CN2CCc3cc(OC)c(OC)cc3[C@@H]2C[C@@H]1C[C@H]1NCCc2cc(OC)c(OC)cc21,training,1
CC[C@]1(O)C[C@@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1,training,1
CN(C)CCC=C1c2ccccc2COc2ccccc21,training,1
N=C(N)NC[C@H]1COc2ccccc2O1,training,1
CCC1C2CC3C4N(C)c5ccccc5C45CC(C2C5O)N3C1O,training,1
CN1CCCC[C@H]1CCN1c2ccccc2Sc2ccc(S(C)=O)cc21,training,1
Nc1ccn([C@H]2CC[C@@H](CO)O2)c(=O)n1,training,1
