smiles,group,Carcinogenicity
ClCCOCCCl,training,0
OCCNCCO,training,0
CC(C)(C)CC(C)(C)c1ccc(OCCOCC[N+](C)(C)Cc2ccccc2)cc1,training,0
C=CCCl,training,0
N[C@H](CCC(=O)O)C(=O)O,training,0
OC[C@H]1O[C@H](OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO)[C@H](O)[C@@H](O)[C@@H]1O,training,0
NC(CCC(=O)O)C(=O)O,training,0
CCNc1nc(Cl)nc(NCC)n1,training,0
CN1C(=O)C(O)N=C(c2ccccc2)c2cc(Cl)ccc21,training,0
O=[N+]([O-])c1cc[n+]([O-])c2ccccc12,training,1
CC(=O)OCN=[N+](C)[O-],training,1
Cc1cc(/N=N/c2c(O)ccc3ccccc23)c(S(=O)(=O)[O-])cc1Cl,training,1
ClCCN(CCCl)c1ccc2ccccc2c1,training,1
COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1,training,1
CCOS(=O)(=O)OCC,training,1
CCOS(C)(=O)=O,training,1
Cc1cc(=O)[nH]c(=S)[nH]1,training,1
C[C@H]1CN(N=O)C[C@H](C)O1,training,1
O=C1c2ccccc2C(=O)c2ccccc21,training,1
O=NN1CCOC1,training,1
O=C1c2ccccc2C(=O)C1c1ccc2ccccc2n1,training,1
OCC(Br)CBr,training,1
Nc1nc(=S)c2ncn([C@H]3C[C@H](O)[C@@H](CO)O3)c2[nH]1,training,1
c1ccc(-c2ccccc2)cc1,training,1
Cc1c2ccccc2c(C)c2c1ccc1ccccc12,training,1
C/C=C/c1ccc2c(c1)OCO2,training,1
C#C[C@@]1(O)CC[C@]2(C)[C@]1(C)CC[C@]1(C)c3ccc(OC)cc3CC[C@]12C,training,1
C#C[C@@]1(O)CCC2C3CCC4=C(CCC(=O)C4)C3CC[C@@]21C,training,1
CN(C)CCN(C)N=O,training,1
CC(=O)c1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,training,0
CC(C)=NNc1ncc(-c2ccc([N+](=O)[O-])o2)s1,training,1
CC(C)=NO,training,1
C=CC(OC(C)=O)c1ccc2c(c1)OCO2,training,1
CC(=O)Nc1ccc(-c2ccccc2)cc1,training,1
CC(=O)Nc1cccc2c1Cc1ccccc1-2,training,0
CC(=O)Nc1cccc2c1-c1ccccc1C2,training,0
C=CC(OCC)OCC,training,0
C=C/C=N/O,training,0
COc1cc2c(c3c1c(=O)c1ccccc1n3C)C=CC(C)(C)O2,training,1
C=CC(N)=O,training,1
C=CC(=O)O,training,0
C=CC#N,training,1
NC(=O)CCCCC(N)=O,training,0
COc1cc2c(c3oc(=O)c4c(c13)CC[C@H]4O)[C@@H]1C=CO[C@H]1O2,training,1
COc1cc2c(c3oc(=O)c4c(c13)CCC4=O)C1C=COC1O2,training,1
COc1cc2c(c3oc(=O)c4c(c13)CCOC4=O)C1C=COC1O2,training,1
CNC(=O)O/N=C/C(C)(C)SC,training,0
ClC1=C(Cl)[C@]2(Cl)[C@H]3[C@H](C4C=C[C@H]3C4)C1(Cl)C2(Cl)Cl,training,0
CCCCCCCCCC[N+](C)(C)[O-],training,0
NC(=O)NC1NC(=O)NC1=O,training,0
C=CCO,training,0
C=CCN=C=S,training,1
C=CCOC(=O)CC(C)C,training,1
C=CCN(N=O)C(N)=O,training,1
Nc1c(Br)cc(Br)c2c1C(=O)c1ccccc1C2=O,training,1
CCn1c2ccccc2c2cc(N)ccc21,training,1
NC(N)=Nc1nc(CSCCNc2nsnc2N)cs1,training,1
Cc1ccc2c(c1N)C(=O)c1ccccc1C2=O,training,1
Nc1nc(-c2ccc([N+](=O)[O-])o2)cs1,training,1
Nc1ncc([N+](=O)[O-])s1,training,1
NC1=NC(=O)C(c2ccccc2)O1,training,0
Nc1ccc2c(c1)C(=O)c1ccccc1C2=O,training,1
Cc1cc(N=Nc2ccccc2C)ccc1N,training,1
NCCCCCC(=O)O,training,0
NCC1(CC(=O)O)CCCCC1,training,1
NCCCCCCCCCCC(=O)O,training,1
O=C([O-])CC(O)(CC(=O)O)C(=O)[O-],training,0
CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,training,0
CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)O,training,0
Clc1nc(Cl)nc(Nc2ccccc2Cl)n1,training,0
Clc1cccc(-c2cc(Cl)cc(Cl)c2)c1,training,1
Clc1ccc(-c2cccc(Cl)c2Cl)c(Cl)c1,training,1
Clc1cccc(-c2ccc(Cl)c(Cl)c2Cl)c1Cl,training,1
O=C1OC(C(O)CO)C([O-])=C1O,training,0
O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,training,0
COc1ccc(CCN2CCC(Nc3nc4ccccc4n3Cc3ccc(F)cc3)CC2)cc1,training,0
CCNc1nc(Cl)nc(NC(C)C)n1,training,1
CN1[C@H]2CC[C@@H]1CC(OC(=O)C(CO)c1ccccc1)C2,training,0
CN(C)c1ccc(C(=N)c2ccc(N(C)C)cc2)cc1,training,1
Nc1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)n1,training,1
Nc1cnn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)n1,training,0
N#[N+]/C=C(\[O-])OC[C@H](N)C(=O)O,training,1
Cn1cnc([N+](=O)[O-])c1Sc1ncnc2nc[nH]c12,training,0
CC1=C(C(=O)OC(C)C)C(c2cccc([N+](=O)[O-])c2)C(C(=O)OC2CN(C(c3ccccc3)c3ccccc3)C2)=C(N)N1,training,0
c1ccc(N=Nc2ccccc2)cc1,training,1
Cc1cn([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)c(=O)[nH]c1=O,training,1
CCOCCc1c(-c2ccccc2)nc(N)n2ncnc12,training,1
O=C(O)C1=C/C(=N/Nc2ccc(C(=O)O)cc2)C=CC1=O,training,0
c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34,training,1
c1ccc2occc2c1,training,1
Nc1nc(N)nc(-c2ccccc2)n1,training,0
O=C(c1ccccc1)C(O)c1ccccc1,training,0
c1ccc2n[nH]nc2c1,training,0
Oc1ccc(Cl)cc1Cc1ccccc1,training,0
NC(=O)Cc1c([O-])on[n+]1Cc1ccccc1,training,1
Nc1ccccc1-c1ccccc1,training,0
CC(CCl)OC(C)CCl,training,0
Clc1cnc(Oc2ccc(Oc3ncc(Cl)cc3Cl)cc2)c(Cl)c1,training,0
CC(O)CNCC(C)O,training,0
CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,training,0
CC(=O)Nc1ccc(S(=O)(=O)[O-])c2c1C(=O)/C(=N/Nc1ccc(N=Nc3ccc(S(=O)(=O)[O-])cc3)c3ccc(S(=O)(=O)[O-])cc13)C(S(=O)(=O)[O-])=C2,training,0
Nc1ccc(N=Nc2ccc(-c3ccc(N=Nc4c(S(=O)(=O)[O-])cc5c(c4N)C(=O)/C(=N/Nc4ccccc4)C(S(=O)(=O)[O-])=C5)cc3)cc2)c(N)c1,training,1
Nc1cc(S(=O)(=O)[O-])cc2c1C(=O)/C(=N/Nc1ccc(-c3ccc(N/N=C4\C(=O)c5c(N)cc(S(=O)(=O)[O-])cc5C=C4S(=O)(=O)[O-])cc3)cc1)C(S(=O)(=O)[O-])=C2,training,1
COc1cc(-c2ccc(N/N=C3\C(=O)c4c(N)cc(S(=O)(=O)[O-])cc4C=C3S(=O)(=O)[O-])c(OC)c2)ccc1N/N=C1\C(=O)c2c(N)cc(S(=O)(=O)[O-])cc2C=C1S(=O)(=O)[O-],training,1
CC(C)(C)O,training,1
CCCCCl,training,0
CCCCN(CCCCO)N=O,training,1
CCCCN(N=O)/C(N)=N/[N+](=O)[O-],training,0
CCCCNC(N)=O,training,0
CC1CC(=O)O1,training,1
O=C1CCCO1,training,0
Cn1c(=O)c2c(ncn2C)n(C)c1=O,training,0
CN(C)C(=O)COC(=O)Cc1ccc(OC(=O)c2ccc(N=C(N)N)cc2)cc1,training,0
CCOc1nc2cccc(C(=O)OC(C)OC(=O)OC3CCCCC3)c2n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,training,0
O=C1CCCCCN1,training,0
O=C1C2CC=CCC2C(=O)N1SC(Cl)(Cl)C(Cl)Cl,training,1
CNC(=O)Oc1cccc2ccccc12,training,1
NC(=O)N(CC(=O)O)N=O,training,1
CCC(Br)(CC)C(=O)NC(N)=O,training,0
CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C2=C(C)CCCC2(C)C)C(C)(C)CCC1,training,0
Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,training,0
C[C@@H]1O[C@@]2(CS1)CN1CCC2CC1,training,0
ClC1=C(Cl)[C@@]2(Cl)[C@H]3[C@H](C[C@@H](Cl)[C@@H]3Cl)C1(Cl)C2(Cl)Cl,training,0
O=C(O)[C@@H]1[C@H](C(=O)O)[C@@]2(Cl)C(Cl)=C(Cl)[C@]1(Cl)C2(Cl)Cl,training,1
CCC(Cl)CCC(Cl)C(Cl)CC(Cl)C(Cl)C(Cl)CCl,training,1
CCCC(Cl)CCC(Cl)CCC(Cl)CCC(Cl)CCC(Cl)CCC(Cl)CCC(C)Cl,training,0
Nc1ccc(Oc2ccc(Cl)cc2)cc1,training,1
O=C1OC(O)C(C(Cl)Cl)=C1Cl,training,1
C[C@H]1C[C@@H](C)CN(S(=O)(=O)c2ccc(Cl)c(C(=O)O)c2)C1,training,1
C=C(C)CCl,training,1
CC(O)CCl,training,0
Cc1cccc(Nc2cc(Cl)nc(SCC(=O)O)n2)c1C,training,1
Cc1cccc(Nc2cc(Cl)nc(SCC(=O)NCCO)n2)c1C,training,1
C[N+](C)(C)CCCl,training,0
ClCc1ccccn1,training,0
ClCc1cccnc1,training,1
C#CC(OC(N)=O)(c1ccccc1)c1ccc(Cl)cc1,training,1
Clc1ccc(Sc2cc(Cl)c(Cl)cc2Cl)cc1,training,0
O=NN(CCCl)C(=O)N[C@H]1[C@@H](O)O[C@H](CO)[C@@H](O)[C@@H]1O,training,1
C[N+](C)CCC(c1ccc(Cl)cc1)c1ccccn1,training,0
C[N+](C)(C)CCO,training,0
O=C1c2cccc(O)c2C(=O)c2c(O)cccc21,training,1
CN=C(NC#N)NCCSCc1nc[nH]c1C,training,0
Nc1ccccc1C(=O)OC/C=C/c1ccccc1,training,1
O=C(O)CC(O)(CC(=O)O)C(=O)O,training,0
CC1=C2C(=CO[C@@H](C)[C@@H]2C)C(=O)C(C(=O)O)=C1O,training,1
C=C/C1=C/[C@H](C)[C@](C)(OC(C)=O)C(=O)OCC2=CC[N+]3(C)CC[C@@H](OC1=O)C23[O-],training,1
CC(C)(OCc1ccc(-c2ccc(Cl)cc2)cc1)C(=O)O,training,0
O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Cl)ccc1O,training,0
Clc1cccc(-c2cccc(Cl)c2)c1,training,1
COc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)N(C)CC[C@]314,training,0
CN[C@H]1CCc2cc(OC)c(OC)c(OC)c2-c2ccc(OC)c(=O)cc21,training,0
Cc1ccc2c(-c3cccc(O)c3)nc(=O)n(C(C)C)c2c1,training,0
CCOP(=S)(OCC)Oc1ccc2c(C)c(Cl)c(=O)oc2c1,training,0
O=c1ccc2ccccc2o1,training,1
C/C=C/C=O,training,1
CCNc1nc(Cl)nc(NC(C)(C)C#N)n1,training,1
O=S(=O)([O-])NC1CCCCC1,training,0
N=c1ccn2c(n1)O[C@H]1[C@H](O)[C@@H](CO)O[C@H]12,training,0
O=C1CCCCC1,training,0
NC1CCCCC1,training,0
ON=C1CCCC1,training,1
COc1ccc(C(=O)Nc2c(Cl)cncc2Cl)cc1OC1CCCC1,training,1
CN(C)N/N=C1\N=CN=C1C(N)=O,training,1
CN(C)NC(=O)CCC(=O)O,training,1
Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,training,1
Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)Cl)cc1,training,0
Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,training,1
CC(=O)OCC(=O)[C@@]12N=C(C)O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]12C,training,1
CC1(C)[C@@H](C=C(Br)Br)[C@H]1C(=O)O[C@H](C#N)c1cccc(Oc2ccccc2)c1,training,0
C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,training,0
CC(=O)N(C(C)=O)c1cccc2c1Cc1ccccc1-2,training,1
Nc1ccc(/C=C/c2ccc(N)cc2S(=O)(=O)[O-])c(S(=O)(=O)[O-])c1,training,0
CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,training,0
CCOP(=S)(OCC)Oc1cc(C)nc(C(C)C)n1,training,0
c1ccc2c(c1)Oc1ccccc1O2,training,0
Nc1ccc2c(c1)oc1ccccc12,training,1
C/C(=C(\CCOC(=O)c1ccccc1)SC(=O)c1ccccc1)N(C=O)Cc1cnc(C)nc1N,training,0
ClCC(Br)CBr,training,1
O[C@@H]([C@H](O)[C@@H](O)CBr)[C@@H](O)CBr,training,1
Brc1cc(Br)c2cccnc2c1,training,0
CCCCNC(=O)N(CCCC)N=O,training,1
CCCC[Sn](CCCC)(OC(C)=O)OC(C)=O,training,0
Nc1ccc(-c2ccc(N)c(Cl)c2)cc1Cl,training,1
ClC/C=C/CCl,training,1
Clc1ccc2c(c1)Oc1ccc(Cl)cc1O2,training,0
O=S(=O)(c1ccc(Cl)cc1)c1ccc(Cl)cc1,training,0
CC(Cl)CCl,training,0
COP(=O)(OC)OC=C(Cl)Cl,training,1
OC(c1ccc(Cl)cc1)(c1ccc(Cl)cc1)C(Cl)(Cl)Cl,training,0
C1C2OC2C2C1C1CC2C2OC12,training,0
ClC1C2(Cl)C3C4C5OC5C5C4C1(Cl)C(Cl)(C53)C2(Cl)Cl,training,0
C1OC1C1CO1,training,0
CCN(CC)c1ccc(N=Nc2cc[n+]([O-])cc2)cc1,training,1
CCOP(=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl,training,0
CCC(CC)C(=O)NC(N)=O,training,0
CCN(CC)CC#CC(C)(C)OC(=O)C(O)(c1ccccc1)C1CCCCC1,training,0
OCCOCCO,training,1
CCN(C=O)CC,training,0
CCOC(=O)/C=C\C(=O)OCC,training,0
CC/C(=C(/CC)c1ccc(O)cc1)c1ccc(O)cc1,training,1
CCNC(=S)NCC,training,1
NC1=NCN([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)C(=O)N1,training,0
O=NN1CC=CCO1,training,1
O=C1CCc2ccccc2O1,training,1
CCCc1ccc2c(c1)OCO2,training,1
C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@@]2(C)[C@H]1CC[C@@H]2[C@H](C)CC[C@@H](O)C(C)(C)O,training,0
C[C@H](CCc1ccccc1)NC[C@H](O)c1ccc(O)c(C(N)=O)c1,training,0
CC1(C)OC(=O)NC1=O,training,0
CNC(=O)CSP(=S)(OC)OC,training,0
COc1ccc(OC)c(/C=C/c2ccc(N)cc2)c1,training,1
COc1cc(-c2ccc(N=C=O)c(OC)c2)ccc1N=C=O,training,1
COc1cc(-c2ccc(N)c(OC)c2)ccc1N,training,1
COc1cc(OC)c2c3c(c(=O)oc2c1)CCC3,training,0
COc1cc(OC)c2c3c(c(=O)oc2c1)CCC3=O,training,0
COc1cc(O)c2c(=O)c3c(OC)cc4c(c3oc2c1OC)C1C=COC1O4,training,1
COP(=S)(OC)SCCNC(C)=O,training,0
CN(C)c1ccc(N=Nc2ccccc2)cc1,training,1
COP(=O)(OC)N1CCOCC1,training,1
Cc1cc(C)nc(-c2ccc([N+](=O)[O-])o2)n1,training,1
CC(=O)N(C)C,training,0
CC[C@H](OC(C)=O)C(C[C@H](C)N(C)C)(c1ccccc1)c1ccccc1,training,1
CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1,training,0
CC[N+]C(=O)N(CCN(C)C)N=O,training,1
Cc1cc(-c2ccc(N)c(C)c2)ccc1N,training,1
CCCCCCCCCCCC[N+](C)(C)[O-],training,0
CN(C)C=O,training,0
CN(C)Nc1nc(-c2ccc([N+](=O)[O-])o2)cs1,training,1
CNC(=S)NC,training,0
CC(C)=CCl,training,1
CN(N=O)C(=O)c1c(N(C)N=O)ncn1C,training,1
O=NN1CN2CN(C1)CN(N=O)C2,training,0
C1COCCO1,training,1
CCOP(=S)(OCC)SC1OCCOC1SP(=S)(OCC)OCC,training,0
CCCCCN(CCCCC)N=O,training,1
c1ccc(Nc2ccc(Nc3ccccc3)cc2)cc1,training,0
CCCN(CCC)c1ccc(N=Nc2cc[n+]([O-])cc2)cc1,training,0
CCC(O)OC(O)CC,training,0
Cc1c(N(C)CS(=O)(=O)[O-])c(=O)n(-c2ccccc2)n1C,training,0
O=c1nc[nH]c2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O,training,0
O=C1C(O)N=C(c2ccccc2F)c2cc(Cl)ccc2N1CCO,training,0
CN(C)CCOC(C)(c1ccccc1)c1ccccn1,training,1
O=C([O-])CN(CCN(CC(=O)[O-])CC(=O)O)CC(=O)[O-],training,0
CC1=C(C(=O)OCCN(Cc2ccccc2)c2ccccc2)C(c2cccc([N+](=O)[O-])c2)C(P2(=O)OCC(C)(C)CO2)=C(C)N1,training,0
Cc1cc(O)c2c(c1)C(=O)c1cc(O)cc(O)c1C2=O,training,0
O=S1OCC2C(CO1)C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl,training,0
ClCC1CO1,training,1
CCC1CO1,training,1
O=C1O[C@H]([C@H](O)C[O-])C(O)=C1O,training,0
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H]([N+](C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,training,0
C[C@]12CC[C@@H]3c4ccc(OC(=O)Cc5ccc(N(CCCl)CCCl)cc5)cc4CC[C@H]3[C@@H]1CC[C@@H]2OC(=O)Cc1ccc(N(CCCl)CCCl)cc1,training,0
C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C,training,1
CCc1cc(C(N)=S)ccn1,training,0
CCSCC[C@H](N)C(=O)O,training,1
CCSCCC(N)C(=O)O,training,1
CCOc1ccc2c(c1)C(C)=CC(C)(C)N2,training,0
C=CC(=O)OCC,training,1
CCN=[N+]([O-])CC,training,1
CCSC[C@H](N)C(=O)O,training,0
CCc1ccc(C(c2ccc(CC)cc2)C(Cl)Cl)cc1,training,0
CCOC(=O)C1OC1(C)c1ccccc1,training,0
CCN(N=O)C(N)=O,training,1
CCOC1=C(O)C(=O)O[C@@H]1[C@@H](O)CO,training,0
S=C1NCCN1,training,1
CCCCC(CC)CO,training,0
CCCCC(CC)COC(=O)CCCCC(=O)OCC(CC)CCCC,training,0
CCN(N=O)C(=O)NCC(C)=O,training,1
CCN(C#N)N=O,training,1
C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CCC4=C[C@@H](OC(C)=O)CC[C@@H]4[C@H]3CC[C@@]21C,training,0
CCc1cccc2c3c([nH]c12)C(CC)(CC(=O)O)OCC3,training,0
N#Cc1ccc(C2CCCc3cncn32)cc1,training,0
CC(C)C(C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1)c1ccc(Cl)cc1,training,0
O=C(NCC1CCCCN1)c1cc(OCC(F)(F)F)ccc1OCC(F)(F)F,training,0
OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,training,1
O=C(Nc1ccc2c(c1)Cc1ccccc1-2)C(F)(F)F,training,1
CC(=O)Nc1ccc(-c2ccc(F)cc2)cc1,training,1
NC(=O)N(CCF)N=O,training,1
O=c1[nH]cc(F)c(=O)[nH]1,training,0
O=CNNc1nc(-c2ccco2)cs1,training,0
Cc1csc(NNC=O)n1,training,1
O=CNNc1nc(-c2ccc([N+](=O)[O-])o2)cs1,training,1
CCCC[C@H](C)[C@@H](OC(=O)C[C@H](CC(=O)O)C(=O)O)[C@@H](C[C@H](C)C[C@@H](O)CCCC[C@@H](O)C[C@H](O)[C@H](C)N)OC(=O)C[C@H](CC(=O)O)C(=O)O,training,1
NC(=O)N/N=C/c1ccco1,training,0
c1ccoc1,training,1
O=Cc1ccco1,training,1
OCc1ccco1,training,1
CC(C)(CO)CCCCCCC(C)(C)CO,training,0
CC(=O)OC/C=C(\C)CCC=C(C)C,training,0
Cc1cccn2c1nc1ccc(N)nc12,training,1
Nc1ccc2nc3ccccn3c2n1,training,1
O=CCCCC=O,training,0
OCC1CO1,training,1
CCN(Cc1cccc(S(=O)(=O)[O-])c1)c1ccc(C(=C2C=CC(=[N+](CC)Cc3cccc(S(=O)(=O)[O-])c3)C=C2)c2ccc(S(=O)(=O)[O-])cc2)cc1,training,1
Clc1cc2c(c(Cl)c1Cl)Oc1c(cc(Cl)c(Cl)c1Cl)O2,training,1
C1CCCNCCC1,training,0
CCCCCCCN,training,0
ClC1=C(Cl)C(Cl)(Cl)C(Cl)=C1Cl,training,0
Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl,training,0
C/C=C/C=C/C=O,training,1
OCN(CO)c1nc(N(CO)CO)nc(N(CO)CO)n1,training,1
CN(C)P(=O)(N(C)C)N(C)C,training,1
CCCCCC(N)=O,training,0
CCCCCC,training,0
CCCCCCN(N=O)C(N)=O,training,1
N[C@@H](Cc1cnc[nH]1)C(=O)O,training,0
NNc1nc(-c2ccc(N)cc2)cs1,training,1
NNc1nc(-c2ccc([N+](=O)[O-])o2)cs1,training,1
NNc1nc(-c2ccccc2)cs1,training,0
c1ccc(NNc2ccccc2)cc1,training,1
NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O,training,0
C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO,training,0
CC(=O)Nc1ccc(-c2ccccc2)cc1O,training,0
CC(=O)N(O)c1ccc2c(c1)Cc1ccccc1-2,training,1
Nc1ccc(-c2ccccc2)cc1O,training,0
O=C1c2ccccc2C(=O)c2c(O)cccc21,training,1
CCNC(=O)N(CCO)N=O,training,1
NC(=O)N(CCO)N=O,training,1
Oc1cccc2cccnc12,training,0
NC(=O)CCCCn1ccc(NC(N)=NCC(F)(F)F)n1,training,1
CS(=O)(=O)OCCCNCCCOS(C)(=O)=O,training,0
O=C([O-])CNCC(=O)O,training,0
CC1(C)C(=O)Nc2ccc(C3=NNC(=O)CC3)cc21,training,1
COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,training,1
CC(I)C1OCC(CO)O1,training,1
CCN(CC)CCCNC(=O)Cn1ncc(-c2ccccc2)c1-c1ccccc1,training,0
C/C=C1/C[C@@H](C)[C@](O)(CO)C(=O)OCC2=CC[N+]3([O-])CC[C@@H](OC1=O)[C@@H]23,training,1
CC(C)CN(N=O)/C(N)=N/[N+](=O)[O-],training,0
CC(C)C=O,training,0
COc1cc(S(C)=O)ccc1-c1nc2ccncc2[nH]1,training,1
NNC(=O)c1ccncc1,training,1
C=CC(=C)C,training,1
O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,training,0
Clc1cc(Cl)cc(-c2cc(Cl)cc(Cl)c2)c1,training,0
O=C1C2(Cl)C3(Cl)C4(Cl)C(Cl)(Cl)C5(Cl)C3(Cl)C1(Cl)C5(Cl)C24Cl,training,1
CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,training,0
CC(C)(C)NC[C@H](O)COc1cccc2c1CCCC2=O,training,0
C=C(C)[C@H]1CC=C(C)CC1,training,1
C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C,training,0
O=C(O)c1nn(Cc2ccc(Cl)cc2Cl)c2ccccc12,training,0
CN1C(C(=O)Nc2ccccn2)=C(O)c2sc(Cl)cc2S1(=O)=O,training,0
