smiles,group,F(20%)
N[C@@H](CCS)C(=O)O,training,1
CC(=O)N[C@H](CS)C(=O)O,training,0
C[C@@H](CS)C(=O)N1CCC[C@@H]1C(=O)O,training,1
O=C(O)C(S)C(S)C(=O)O,training,1
CC(C)(S)[C@H](N)C(=O)O,training,1
CCCc1cc(=O)[nH]c(=S)[nH]1,training,1
S=c1nc[nH]c2nc[nH]c12,training,0
Nc1nc(=S)c2[nH]cnc2[nH]1,training,1
Cn1cc[nH]c1=S,training,1
CCOC(=O)n1ccn(C)c1=S,training,0
S=C=Nc1cccc2ccccc12,test,1
CCCc1cc(C(N)=S)ccn1,val,1
CCc1cc(C(N)=S)ccn1,test,1
CC(=O)OC[C@H]1O[C@@H](S)[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@@H]1OC(C)=O,val,1
OC[C@H](S)CS,training,0
C[C@H](S)C(=O)NCC(=O)O,training,1
CCN(CC)C(=S)SSC(=S)N(CC)CC,training,1
NCCCNCCSP(=O)(O)O,training,1
CN(C)c1ccc(CSCCNC(=O)c2ccc[n+]([O-])c2)o1,training,1
C/N=C(\NC#N)NCCSCc1nc[nH]c1C,training,1
CNCc1ccc(CSCCN/C(=N/[N+](=O)[O-])NC)o1,training,1
CN/C(=C\[N+](=O)[O-])NCCSCc1csc(CN(C)C)n1,training,1
Cc1nnc(SCC2=C(C(=O)O)N3C(=O)[C@@H](NC(=O)Cn4cnnn4)[C@H]3SC2)s1,training,0
CCN1CCN(C(=O)N[C@@H](C(=O)N[C@@H]2C(=O)N3C(C(=O)O)=C(CSc4nnnn4C)CS[C@H]23)c2ccc(O)cc2)C(=O)C1=O,training,0
N[C@H](C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(CSc3c[nH]nn3)CS[C@H]12)c1ccc(O)cc1,training,1
CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(CSc3nc(=O)c(O)nn3C)CS[C@H]12)c1csc(N)n1,training,0
CO/N=C(/C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(CSc3nc(C)c(CC(=O)O)s3)CS[C@H]12)c1csc(N)n1,training,0
CO[C@@]1(NC(=O)[C@H](C(=O)O)c2ccc(O)cc2)C(=O)N2C(C(=O)[O-])=C(CSc3nnnn3C)CO[C@@H]21,training,0
C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(SCC/N=C/N)C[C@H]12,training,0
CC(=O)OCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)CSc3ccncc3)[C@@H]2SC1,training,0
Cn1cnc([N+](=O)[O-])c1Sc1ncnc2nc[nH]c12,training,1
CCCN1C[C@H](CSC)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21,test,1
CSC[C@H](NC(=O)COc1nccc2ccccc12)C(=O)N[C@@H](Cc1ccccc1)[C@H](O)C(=O)N1CSC[C@H]1C(=O)NC(C)(C)C,training,1
Cc1c(O)cccc1C(=O)N[C@@H](CSc1ccccc1)[C@H](O)CN1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)NC(C)(C)C,training,1
CSc1ccc(C(=O)c2[nH]c(=O)[nH]c2C)cc1,training,1
CSc1ccc2c(c1)N(CC[C@@H]1CCCCN1C)c1ccccc1S2,training,1
CCC[C@@H]1C[C@H](C(=O)N[C@H]([C@H](C)O)[C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O)N(C)C1,training,1
CC(C)(Sc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1)Sc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,training,0
CC(=O)S[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@H]2CC[C@@]3(C)[C@@H](CC[C@@]34CCC(=O)O4)[C@@H]21,training,1
CCC(=O)O[C@]1(C(=O)SCF)[C@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,training,0
CS(=O)(=O)OCCCCOS(C)(=O)=O,training,1
CCOC(Cc1ccc(OCCc2ccc(OS(C)(=O)=O)cc2)cc1)C(=O)O,training,1
CC1(C)O[C@H]2[C@@H](CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@H]23)O1,training,1
CS(=O)(=O)OC[C@H](O)[C@H](O)COS(C)(=O)=O,training,1
O=S(=O)(O)O[C@H]1[C@H](O)CO[C@@H](O[C@@H]2CO[C@@H](O)[C@H](OS(=O)(=O)O)[C@H]2OS(=O)(=O)O)[C@@H]1OS(=O)(=O)O,training,0
C[C@H]1[C@H](NC(=O)/C(=N\OC(C)(C)C(=O)O)c2csc(N)n2)C(=O)N1S(=O)(=O)O,training,0
CC(=O)NCCCS(=O)(=O)O,training,0
Cc1ccc(C(=O)Nc2ccc(S(=O)(=O)O)c3cc(S(=O)(=O)O)cc(S(=O)(=O)O)c23)cc1NC(=O)c1cccc(NC(=O)Nc2cccc(C(=O)Nc3cc(C(=O)Nc4ccc(S(=O)(=O)O)c5cc(S(=O)(=O)O)cc(S(=O)(=O)O)c45)ccc3C)c2)c1,training,0
NNC(=O)NNN1C(=O)c2cc(S(=O)(=O)O)cc3c(N)c(S(=O)(=O)O)cc(c23)C1=O,training,0
Cc1cc(NS(=O)(=O)c2ccc(N)cc2)no1,training,1
Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1,training,1
O=C(O)c1cc(N=Nc2ccc(S(=O)(=O)Nc3ccccn3)cc2)ccc1O,training,0
COc1cc(NS(=O)(=O)c2ccc(N)cc2)nc(OC)n1,training,1
Cc1ccnc(NS(=O)(=O)c2ccc(N)cc2)n1,training,1
Cc1cc(C)nc(NS(=O)(=O)c2ccc(N)cc2)n1,training,1
CN(CCOc1ccc(NS(C)(=O)=O)cc1)CCc1ccc(NS(C)(=O)=O)cc1,training,1
CCCCCCCN(CC)CCC[C@H](O)c1ccc(NS(C)(=O)=O)cc1,test,0
CC(C)NC[C@H](O)COc1cccc(NS(C)(=O)=O)c1,test,1
CNC(=O)c1cccc2c(Nc3ccc(NS(C)(=O)=O)cc3OC)c3cccc(C)c3nc12,training,1
COc1ccccc1Oc1c(NS(=O)(=O)c2ccc(C(C)(C)C)cc2)nc(-c2ncccn2)nc1OCCO,training,1
Cc1nsc(NS(=O)(=O)c2ccc(N)cc2)c1C,training,1
CNS(=O)(=O)CCc1ccc2[nH]c(C3CCN(C)CC3)cc2c1,training,1
CNS(=O)(=O)Cc1ccc2[nH]cc(CCN(C)C)c2c1,test,0
CNS(=O)(=O)Cc1ccc2[nH]cc(CCCN3CCN(c4ncncc4OC)CC3)c2c1,training,0
Cc1ccc(S(=O)(=O)NC(=O)NN2C[C@H]3CCC[C@H]3C2)cc1,training,1
CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,test,1
Cc1cnc(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)NC3CCCCC3)cc2)cn1,training,1
CCC1=C(C)CN(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)NC3CCC(C)CC3)cc2)C1=O,training,1
Cc1cccc(Nc2ccncc2S(=O)(=O)NC(=O)NC(C)C)c1,training,1
CCCc1nc(C)c2c(=O)nc(-c3cc(S(=O)(=O)N4CCN(CC)CC4)ccc3OCC)[nH]n12,training,0
CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)nc12,training,1
CCCCS(=O)(=O)N[C@@H](Cc1ccc(OCCCCC2CCNCC2)cc1)C(=O)O,training,0
NS(=O)(=O)Cc1noc2ccccc12,training,1
CCOc1ccc2nc(S(N)(=O)=O)sc2c1,training,1
CC(=O)Nc1nnc(S(N)(=O)=O)s1,training,1
Cc1onc(-c2ccccc2)c1-c1ccc(S(N)(=O)=O)cc1,training,1
CCN1CC[C@H](CNC(=O)c2cc(S(N)(=O)=O)ccc2OC)C1,training,1
CCCCNc1cc(C(=O)O)cc(S(N)(=O)=O)c1Oc1ccccc1,training,1
NS(=O)(=O)c1cc(C(=O)O)cc(N2CCCC2)c1Oc1ccccc1,training,1
CCOc1ccccc1OCCN[C@@H](C)Cc1ccc(OC)c(S(N)(=O)=O)c1,training,1
NS(=O)(=O)c1cc2c(cc1C(F)(F)F)NCNS2(=O)=O,training,1
NS(=O)(=O)c1cc2c(cc1C(F)(F)F)N[C@@H](Cc1ccccc1)NS2(=O)=O,training,1
COc1ccccc1OCCNC[C@@H](O)c1ccc(C)cc1S(N)(=O)=O,training,1
CCCN(CCC)S(=O)(=O)c1ccc(C(=O)O)cc1,val,1
CCCN1C[C@@H](NS(=O)(=O)N(CC)CC)C[C@@H]2Cc3c(O)cccc3C[C@H]21,training,1
CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@H]2OCC[C@@H]12)S(=O)(=O)c1ccc(N)cc1,training,1
CC(C)c1nc(N(C)S(C)(=O)=O)nc(-c2ccc(F)cc2)c1/C=C/[C@@H](O)C[C@@H](O)CC(=O)O,training,1
CN(C)S(=O)(=O)c1ccc2c(c1)N(CCCN1CCC(CCO)CC1)c1ccccc1S2,training,1
CCS(=O)(=O)CCn1c([N+](=O)[O-])cnc1C,training,1
CN1CCC[C@@H]1Cc1c[nH]c2ccc(CCS(=O)(=O)c3ccccc3)cc12,training,1
CN(C)CCc1c[nH]c2ccc(CS(=O)(=O)N3CCCC3)cc12,training,1
CCN1CCC[C@H]1CNC(=O)c1cc(S(=O)(=O)CC)c(N)cc1OC,training,1
Nc1ccc(S(=O)(=O)c2ccc(O)cc2)cc1,training,1
CS(=O)(=O)c1ccc(C2=C(c3ccccc3)C(=O)OC2)cc1,training,1
CS(=O)(=O)c1ccc2c(c1)N(CCCN1CCC(C(N)=O)CC1)c1ccccc1S2,training,1
CC(C)(C)S(=O)(=O)C[C@H](Cc1ccccc1)C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N[C@H](CC1CCCCC1)[C@H](O)[C@H](O)C1CC1,training,0
O=S(=O)([O-])CCS,training,1
C[C@H]([C@@](O)(Cn1cncn1)c1ccc(F)cc1F)S(C)(=O)=O,training,1
NC(N)=Nc1nc(CSCC/C(N)=N/S(N)(=O)=O)cs1,training,1
C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(S[C@H]3CC[C@@H](C(=O)N(C)C)N3)[C@H](C)[C@H]12,training,0
Nc1nc(F)nc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@@H]1O,test,1
CCC(=O)O[C@@H](OP(=O)(CCCCc1ccccc1)CC(=O)N1C[C@H](C2CCCCC2)C[C@H]1C(=O)O)C(C)C,training,1
Nc1ncnc2c1ncn2CCOCP(=O)(O)O,training,0
Nc1ccn(C[C@@H](CO)OCP(=O)(O)O)c(=O)n1,training,0
C[C@H](Cn1cnc2c(N)ncnc21)OCP(=O)(O)O,training,1
CCCCCN(C)CCC(O)(P(=O)(O)O)P(=O)(O)O,training,0
NCCC(O)(P(=O)(O)O)P(=O)(O)O,training,0
NCCCC(O)(P(=O)(O)O)P(=O)(O)O,training,0
O=P(O)(O)C(O)(Cc1cccnc1)P(=O)(O)O,val,0
CC(O)(P(=O)(O)O)P(=O)(O)O,training,0
O=C(O)P(=O)(O)O,training,0
C[C@@H](NC(=O)[C@@H](C)N)P(=O)(O)O,training,1
C[C@H]1O[C@@H]1P(=O)(O)O,training,1
O=P([O-])(O)C(NC1CCCCCC1)P(=O)([O-])O,training,0
OCCN(CCO)c1nc(N2CCCCC2)c2nc(N(CCO)CCO)nc(N3CCCCC3)c2n1,training,1
CCCCCCCCCCCCCCCCCCCCCCO,training,0
Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1,training,0
OCC(CO)N[C@H]1C[C@](O)(CO)[C@@H](O)[C@H](O)[C@H]1O,test,0
CCO,training,1
Oc1ccc2c(c1)[C@@]13CCCC[C@@]1(O)[C@@H](C2)N(CC1CCC1)CC3,training,0
C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C,training,1
CC(C)=CCN1CC[C@@]2(C)c3cc(O)ccc3C[C@@H]1[C@H]2C,training,0
CC[N+](C)(C)c1cccc(O)c1,test,0
CC[C@@]1(c2cccc(O)c2)CCCCN(C)C1,training,0
C=C1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5,training,1
CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@@H]1CCC(C)=C[C@H]21,training,0
Oc1ccc2c(c1O)-c1cccc3c1[C@@H](C2)NCC3,training,0
Cc1cc(C(C)(C)C)c(O)c(C)c1CC1=NCCN1,training,0
Cc1ccc(O)c([C@H](CCN(C(C)C)C(C)C)c2ccccc2)c1,val,1
CCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,training,1
CC[C@H](CO)NCCN[C@H](CC)CO,training,1
Nc1nc(NC2CC2)c2ncn([C@H]3C=C[C@@H](CO)C3)c2n1,training,1
Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O,test,0
OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@@H]1O,val,1
N[C@H]1[C@H](O)O[C@H](CO)[C@@H](O)[C@@H]1O,val,1
OC[C@]1(O)OC[C@@H](O)[C@H](O)[C@@H]1O,val,1
CC(C)(C)NCC(O)c1ccc(O)c(CO)c1,test,1
C=C1/C(=C\C=C2/CCC[C@@]3(C)[C@H]2CC[C@@H]3[C@@H](C)CCCC(C)(C)O)C[C@@H](O)C[C@@H]1O,training,1
CC1=CC[C@@H](C(C)(C)O)C[C@@H]1O,training,1
C[C@@H](/C=C/[C@@H](C)[C@H]1CC[C@H]2/C(=C/C=C3C[C@@H](O)C[C@H](O)C3)CCC[C@@]21C)C(C)(C)O,training,1
O=C1NS(=O)(=O)c2ccccc21,training,1
COc1ccc(CCN(C)CCCC2(c3ccc(OC)c(OC)c3)S(=O)(=O)CCCS2(=O)=O)cc1OC,training,1
Nc1ccn(C[C@H]2COP(=O)(O)CO2)c(=O)n1,training,0
CN(N=O)C(=O)N[C@H]1[C@H](O)O[C@H](CO)[C@@H](O)[C@@H]1O,val,1
CC[C@H]1OC(=O)C[C@@H](O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@@H](CC=O)C[C@@H](C)C(=O)/C=C\[C@]2(C)O[C@H]2[C@@H]1C,training,1
O=c1ccc2ccccc2o1,training,0
O=C1NCC2(CCN(CCc3ccccc3)CC2)O1,training,1
O=C1OC2(c3ccc(O)cc3Oc3cc(O)ccc32)c2ccccc21,training,1
CN(C)CCc1c[nH]c2ccc(C[C@H]3COC(=O)N3)cc12,training,1
C[C@]12COC(=O)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O,training,1
C[C@]12CC[C@H]3[C@H]([C@@H]1[C@@H]1C[C@@H]1[C@@]21CCC(=O)O1)[C@H]1C[C@H]1C1=CC(=O)CC[C@@]13C,training,1
C[C@@H]1CC(=O)NN=C1c1ccc(NN=C(C#N)C#N)cc1,training,1
CC[C@H](NC(C)C)[C@H](O)c1ccc(O)c2[nH]c(=O)ccc12,training,1
Cc1cccc2c1NC(=O)c1cccnc1N2C1CC1,training,1
CCCNC(Cc1cccc2c1CC(=O)N2)NCCC,training,1
O=c1[nH]cnc2c1ncn2[C@@H]1CC[C@H](CO)O1,training,1
O=c1[nH]cnc2[nH]ncc12,training,1
CC[C@@]1(O)C(=O)CCc2c1cc1n(c2=O)Cc2cc3c(N)cccc3nc2-1,training,1
Nc1nc(=O)c2ncn(CCC(CO)CO)c2[nH]1,training,1
C=C1[C@@H](n2cnc3c(=O)nc(N)[nH]c32)C[C@H](O)[C@H]1CO,training,1
Cc1cc(=O)n(-c2ccccc2)n1C,training,1
CCCC[C@H]1C(=O)C(=O)N(c2ccccc2)N1c1ccccc1,training,1
O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2ncccn2)CC1,training,0
Cc1nc(C)c2c(n1)N(Cc1ccc(-c3ccccc3-c3nn[nH]n3)cc1)C(=O)CC2,training,1
CCCCC1=NC2(CCCC2)C(=O)N1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,training,1
Cc1[nH]cnc1CN1CCc2c(c3ccccc3n2C)C1=O,training,1
CCN1C[C@@H](CCN2CCOCC2)C(c2ccccc2)(c2ccccc2)C1=O,training,1
Cc1cccc(N2C[C@H](CO)OC2=O)c1,training,1
CN1CC(=O)N2[C@H](Cc3c([nH]c4ccccc34)[C@H]2c2ccc3c(c2)OCO3)C1=O,training,0
CN1C(=O)[C@@](C)(C2=CCCCC2)C(=O)N=C1O,training,1
CCC1(c2ccccc2)C(=O)NC(=O)N(C)C1=O,training,1
Cn1c(=O)c2c(ncn2CCO)n(C)c1=O,test,1
Cn1c(=O)c2c(ncn2CCCNC[C@H](O)c2cc(O)cc(O)c2)n(C)c1=O,training,1
Cn1c(=O)c2c(ncn2C[C@H](O)CO)n(C)c1=O,test,1
C[C@H](O)Cn1cnc2c1c(=O)n(C)c(=O)n2C,val,1
Cn1c(=O)c2c(ncn2C)n(C)c1=O,test,1
Cn1c(=O)c2[nH]cnc2n(C)c1=O,val,1
Cn1c2ncnc-2c([O-])n(C)c1=O,training,1
CN1C(=O)CC[C@H]1c1cccnc1,training,1
Cc1ccc2c(-c3ccccc3)nc(=O)n(C(C)C)c2c1,training,0
NC1=NC(=O)N([C@@H]2CS[C@H](CO)O2)CC1,training,1
Cc1cn([C@@H]2C=C[C@H](CO)O2)c(=O)nc1N,training,1
Cc1cn([C@@H]2C[C@@H](O)[C@H](CO)O2)c(=O)[nH]c1=O,training,1
O=C1c2cccc3c2[C@H](CCC3)CN1[C@@H]1CN2CCC1CC2,training,1
O=c1nc(O)ccn1[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,val,0
Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)c(=O)n1,val,1
Nc1ccn([C@H]2CO[C@H](CO)S2)c(=O)n1,training,1
Nc1ccn([C@H]2CC[C@@H](CO)O2)c(=O)n1,test,1
CC1=[C+]N([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)C(=O)NC1=O,training,1
CN1CCC(=C2c3ccccc3CC(=O)c3sccc32)CC1,training,1
O=C1c2c(O)ccc(O)c2C(=O)c2c(NCCNCCO)ccc(NCCNCCO)c21,training,0
Cc1cc(O)c2c(=O)c3c(O)cc(O)c4c5c(O)cc(O)c6c(=O)c7c(O)cc(C)c8c1c2c(c34)c(c78)c65,training,1
C[C@]12CCC3=C4CCC(=O)C=C4CC[C@H]3[C@@H]1CC[C@]2(O)CC#N,training,1
C#C[C@]1(O)CC[C@@H]2[C@H]3CCC4=CC(=O)CC[C@H]4[C@@H]3CC[C@@]21C,training,1
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3C(=C)C[C@@]21CC,training,1
C#C[C@]1(O)C=C[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@]21CC,training,1
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC,training,1
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3C=C[C@@]21CC,training,1
C=C1C[C@@H]2[C@H](CC[C@]3(C)C(=O)CC[C@@H]23)[C@@]2(C)C=CC(=O)C=C12,training,1
C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2O,training,0
C#C[C@]1(O)CC[C@H]2[C@@H]3CC[C@H]4CC(=O)CCC4=C3[C@@H](c3ccc(N(C)C)cc3)C[C@@]21C,training,1
C[C@H]1CC(=O)C[C@@H]2CC[C@H]3[C@@H]4CC[C@H](O)[C@@]4(C)CC[C@@H]3[C@@]12C,training,0
CCCCCCC(C)(C)c1cc(O)c2c(c1)OC(C)(C)[C@@H]1CCC(=O)C[C@@H]21,training,1
Nc1cc(-c2ccncc2)c[nH]c1=O,training,1
CCC1(c2ccccc2)C(=O)NCNC1=O,training,1
CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,training,1
O=C1c2ccccc2C(=O)C1c1ccccc1,training,1
O=C1NNC(=O)C1(c1ccccc1)c1ccccc1,training,1
Cc1[nH]c(=O)c(C#N)cc1-c1ccncc1,training,1
CCC[C@@H](C)C1(CC)C(=O)NC(=O)NC1=O,training,1
O=C1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@@H]1O5,training,1
N[C@@H]1CONC1=O,training,1
Cn1c2c(c3ccccc31)C(=O)[C@H](Cn1ccnc1)CC2,training,1
CC[C@H]1C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1cc3c(cc1c2CN1CCN(C)CC1)OCCO3,training,0
