smiles,group,Respiratory
NCCC(=O)N[C@H](Cc1cnc[nH]1)C(=O)O,training,0
CC(=O)OCC1=C(C(=O)O)N2C(=O)[C@H](NC(=O)CSc3ccncc3)[C@H]2SC1,training,0
O=C(OC1C(OC(=O)c2cccnc2)C(OC(=O)c2cccnc2)C(OC(=O)c2cccnc2)C(OC(=O)c2cccnc2)C1OC(=O)c1cccnc1)c1cccnc1,training,0
O=C(/C=C/c1ccc(O)cc1)C1=C(O)C(O)([C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)C2=C(C1=O)C1OC(CO)C(O)C(O)C1O2,training,0
COc1c(O)cc2occ(-c3ccc(O)cc3)c(=O)c2c1O,training,0
N=c1ccn2c(n1)O[C@H]1[C@H](O)[C@@H](CO)O[C@H]12,training,0
Cc1ccc(C(=O)CCN2CCN(c3ccccc3)CC2)cc1,training,0
Cn1nc(S(N)(=O)=O)s/c1=N/C(=O)c1ccc(Br)cc1,training,0
NC(=O)OC[C@@H](O)COc1ccc2c(c1)CCCC2,training,0
C[C@@H](CO[N+](=O)[O-])O[N+](=O)[O-],training,0
CCCCOCC(O)COCCCC,training,0
CCOC(=O)c1ccc(NC(=O)c2ccc(/N=C3/C(=O)N(C)c4ccc(Cl)cc43)cc2)cc1,training,0
O=C(COc1cccc2ccccc12)N1CC1,training,0
C1COCCO1,training,0
O=C1CC(c2ccc(OCOc3ccc(C4CC(=O)NC4=O)cc3)cc2)C(=O)N1,training,0
CSc1nn2c(=O)c3c(nc2s1)sc1ccccc13,training,0
O=c1c2cc(-c3ccccc3)sc2nc2scc(-c3ccc(Br)cc3)n12,training,0
CCOC(=O)c1sc2nc3cc(-c4ccc(Cl)cc4)sc3c(=O)n2c1C,training,0
CCCCn1c(-c2ccc(CC)cc2)cn2c3c(=O)n(C)c(=O)n(C)c3nc12,training,0
CC(=O)N[C@@H](CCC(=O)O)C(=O)O,training,0
COc1cc2c(c(OC)c1OC)-c1ccc(O)c(=O)cc1[C@@H](NC(=O)c1ccccc1)CC2,training,0
O=C(COc1ccc(Cl)cc1)OCCN1CCOCC1,training,0
O=C1C(=O)N(Cc2ccccc2)c2ccc(Br)cc21,training,0
CCCCOP1(=O)OC(C)(C)C[C@]1(C)O,training,0
O=C1/C(=C\C=C\c2ccccc2)SC(=S)N1CN(CCO)CCO,training,0
O=C1/C(=C\c2cccc(F)c2)SC(=S)N1CN1CCOCC1,training,0
O=c1[nH]nc(-c2ccccc2)s1,training,0
O=C1CC(c2ccccc2)C(=O)N1C1CCCCC1,training,0
CCN(CC)CCN1C(=O)CN=C(c2ccccc2F)c2cc(Cl)ccc21,training,0
O=c1ccc(N2CCOCC2)nn1-c1ccccc1,training,0
CC(C)[C@H]1C[C@@H](C)OC1=O,training,0
NCCCCCCSS(=O)(=O)O,training,1
NS(=O)(=O)c1cc(S(N)(=O)=O)c(Cl)s1,training,1
Cc1[nH]c2ccccc2c1Cc1n[nH]c(=S)n1-c1ccc(Br)cc1,training,1
Cc1[nH]c2ccccc2c1Cc1n[nH]c(=S)n1C1CCCCC1,training,1
Cc1ccc(/N=C2/SCC(=O)N2CCCN2CCOCC2)cc1,training,1
FC(F)(F)c1cc(-c2ccccc2)c2nncn2n1,training,1
C[C@H](N)CS(=O)(=O)O,training,1
CC(C)c1ccc2oc3nc(N)c(C(=O)O)cc3c(=O)c2c1,training,1
CC(C)OC(=O)C[C@@H]1NS(=O)(=O)c2ccccc21,training,1
O=C1CN2CCO[Si](c3ccc(F)cc3)(OCC2)O1,training,1
CN(C)c1ccc(/N=N/c2ccc(N)cc2)cc1,training,1
O=c1oc2ccc(Cl)cc2n1CN1CCCC1,training,1
CNc1c(C(=O)N(C)C)c(-c2ccccc2)nc2ccccc12,training,1
OCC[C@@H](c1ccco1)N1CCCCC1,training,1
COc1ccc2nc3c(c(N4CCN(c5ccccc5C)CC4)c2c1)CCC3,training,1
CC/N=N/Cc1nnc(-n2c(/C=C/c3ccccc3)nc3ccccc3c2=O)s1,training,1
CCCn1c(=O)c2c(ncn2CCCC[C@@H](C)O)n(C)c1=O,training,1
Cc1cc(C)n(-c2nc(-c3ccc(O)c(O)c3)cs2)n1,training,1
c1ccc(C2CCCCC2)cc1,training,1
COc1ccc2c(=O)c(C)c(-c3ccc(F)cc3)oc2c1CN1CCCC1,training,1
OC(CN1CCN(c2ccccc2)CC1)c1ccncc1,training,1
CC[C@H]1N2CCc3c(n(C)c4ccccc34)[C@@H]2[C@H]2CCCCN21,training,1
CCCC1(CCC)CN(CCN2CCN(c3cccc(Cl)c3)C2=O)C1,training,1
COc1ccc2ccc(=O)oc2c1CC=C(C)C,training,1
N=C(N)Nc1ccc(C(=O)Oc2ccc([N+](=O)[O-])cc2)cc1,training,1
CCN(CC)CCN(Cc1ccc(Br)cc1)c1ncnc2ccccc12,training,1
Cc1nsc(Cl)c1C(=O)OCCN(C)C,training,1
NS(=O)(=O)c1cc(Cl)sc1Cl,training,1
CCn1nc(C(C)(C)C)c2c1-c1ccccc1C2(O)c1ccccc1,training,1
COc1cc2c(cc1O)C[C@@H]1NCCc3cc(OC)c(OC)c-2c31,training,1
COc1cc2c(cc1O)C[C@@H]1NCCc3cc(O)c(OC)c-2c31,training,1
CCOC(=O)CS(=O)(=O)c1nnc(-c2ccccc2)s1,training,1
CCCCN(CCCC)CCOc1ccnc(N)n1,training,1
CCC1(CC)C(=O)N=C(Nc2ccc(C)cc2)NC1=O,training,1
CC(CN(C)C)CN1c2ccccc2CCc2ccccc21,training,1
C=C[C@H]1CN2CCc3c([nH]c4ccccc34)[C@H]2C[C@@H]1/C(=C\OC)C(=O)OC,training,1
CN1CCN(CCC=C2c3ccccc3Sc3ccc(S(=O)(=O)N(C)C)cc32)CC1,training,1
CN1CCC[C@@H]1CC(=O)c1cccs1,training,1
CC(=O)Nc1ccc(C2=NN(C(C)=O)C(C)Cc3cc4c(cc32)OCO4)cc1,training,1
CCN1CCC(=O)Nc2ccccc21,training,1
CCC(=O)Nc1ccc(C2=NN(C(=O)CC)C(C)Cc3cc4c(cc32)OCO4)cc1,training,1
Oc1c(Cl)c(Cl)c(Cl)c(Oc2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c1Cl,training,1
CCN(CC)Cc1c(OC)ccc2c(=O)c(C)c(-c3ccc(Cl)cc3)oc12,training,1
c1ccc2c(N3CCOCC3)c3ccccc3nc2c1,training,1
FC(F)(F)c1ccc2oc(=S)[nH]c2c1,training,1
CN1C(c2ccccc2O)=NCC1c1ccccc1,training,1
COc1ccc2c(=O)c(C)c(-c3ccccc3)oc2c1CN1CCCCC1,training,1
CC(=O)CC[C@@H](O)c1ccoc1,training,1
C(=N/CCc1ccccc1)\NCCc1ccccc1,training,1
N#CCCCNCCCC#N,training,1
COC(=O)[C@](F)(Br)C(F)(F)C(F)(F)F,training,1
COc1cc2c3c(c1O)-c1c(cccc1OC)C[C@@H]3N(C)CC2,training,1
C=C1[C@@H]2CC[C@@H]3[C@@H](O)[C@@]2(C[C@@H](O)[C@@]2(O)[C@H]1C[C@H](O)C2(C)C)C[C@@]3(C)O,training,1
O=C1C=CC(=O)C=C1,training,1
CC[N+]1(CCO)CC1,training,1
[C-]#N,training,1
CCOP(C)(=O)SCCN(C(C)C)C(C)C,training,1
COC(C(F)(F)F)C(F)(F)F,training,0
CC(C)(O/N=C(/C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(C[n+]3ccccc3)CS[C@H]12)c1csc(N)n1)C(=O)O,training,0
CC1(C)C[C@@](C)(O)P(C)(=O)O1,training,0
CC(=O)Nc1ccc(/N=N/c2cc(C)ccc2O)cc1,training,0
COc1cc(Cc2cnc(N)nc2N)cc(OC)c1Br,training,0
Cc1ccccc1OC[C@@H](COC(=O)c1cccnc1)OC(=O)c1cccnc1,training,0
NC(=O)[C@@]1(c2ccccc2)CCC(=O)O1,training,0
OCCO,training,0
C[N+](C)(C)CCOP(=O)([O-])OP(=O)(O)OC[C@H]1O[C@@H](n2ccc(N)nc2=O)[C@H](O)[C@@H]1O,training,0
C[C@@]1(Cn2ccnn2)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O,training,0
CO/N=C(/C(=O)N[C@@H]1C(=O)N2C(C(=O)OCOC(=O)C(C)(C)C)=C(/C=C\c3scnc3C)CS[C@H]12)c1csc(N)n1,training,0
NCCCC(=O)O,training,0
N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O,training,0
O=C(O)C=C(c1ccccc1)c1ccccc1,training,0
CCOC(=O)C1=C(C)NC(C)=C(C(=O)OCC)C1c1ccc([N+](=O)[O-])o1,training,0
CCSCC[C@H](N)C(=O)O,training,0
COc1c(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc2occ(-c3ccc(O)cc3)c(=O)c2c1O,training,0
COP1(=O)OC(C)(C)C[C@]1(C)O,training,0
CC(=O)NCCCCCCNC(C)=O,training,0
O=C1/C(=C/c2ccc3ccccc3c2)NC(=S)N1c1ccccc1,training,0
Cc1ccc(N2C(=O)/C(=C/c3ccc4ccccc4c3)NC2=S)cc1,training,0
O=C1/C(=C/c2ccc3ccccc3c2)NC(=S)N1c1ccc(Cl)cc1,training,0
FC(F)OC(F)(F)C(F)Cl,training,0
O=C1CCCN1,training,0
COc1ccccc1OCC(COC(=O)c1cccnc1)OC(=O)c1cccnc1,training,0
CCOC(=O)[C@H]1O[C@@H]1C(=O)N[C@@H](CC(C)C)C(=O)NCCC(C)C,training,0
NC(=O)[C@@H]1CC(=O)O[C@@H]1c1ccccc1,training,0
CC(O)(CC(=O)O)CC(=O)O,training,0
O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1Br,training,0
FC(F)OC(Cl)C(F)(F)F,training,0
O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,training,0
COc1ccc(C(=O)CC2(O)C(=O)c3ccccc3C2=O)cc1OC,training,0
Cc1cc(C)n(-c2nc(-c3ccccc3)cs2)n1,training,0
CC(=O)SC[C@@H](C)C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1ccccc1)C(=O)O,training,0
COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccco1,training,0
CN1CCN(C)C1=O,training,0
CC1=C(C(C)C)CCCC1,training,0
CNc1ccc(O)c2c1C(=O)c1c(NC)ccc(O)c1C2=O,training,0
NC(=O)NC(=O)[C@@H]1CC(=O)O[C@@H]1c1ccccc1,training,0
COCC1=C(C(=O)OC(C)OC(=O)OC(C)C)N2C(=O)[C@@H](NC(=O)/C(=N/OC)c3csc(N)n3)[C@H]2SC1,training,0
CC1=C(C(C)C)CC=CC1,training,0
O=C1/C(=C/c2cccc3ccccc23)NC(=S)N1c1ccc(Cl)cc1,training,0
CC(=O)/N=c1/sc(S(N)(=O)=O)nn1C,training,0
CC(C)NNC(=O)CCCO,training,0
CC1(C)OC(=O)N(CC[C@@H](O)CO)C1=O,training,0
CC(C)CCNC(=O)[C@H](CC(C)C)NC(=O)[C@H]1O[C@@H]1C(=O)O,training,0
CCOCCOCCO,training,0
Cc1cc(NS(=O)(=O)c2ccc(N)cc2)no1,training,0
Cn1c(=O)c2c(ncn2CC(O)CN2CCCCC2)n(C)c1=O,training,0
CCOP1(=O)OC(C)(C)C[C@]1(C)O,training,0
O=C1/C(=C/c2cccc3ccccc23)NC(=S)N1c1ccccc1,training,0
CCN(CC)CCOC(=O)C=C(c1ccccc1)c1ccccc1,training,0
COc1cc(OC)c(C(=O)/N=c2/sc(S(N)(=O)=O)nn2C)c(OC)c1,training,0
CCCCCCCCCCCCCCCCCC(=O)N(C)C,training,0
Cn1c(N)c(N=O)c(=O)n(C)c1=O,training,0
COC(=O)[C@H]1CC(=O)O[C@@H]1c1ccccc1,training,0
O=C(OCC1COC2(CCCCC2)O1)c1ccccc1O,training,0
O=C(OCC1CSC2(CCCCC2)O1)c1ccccc1O,training,0
O=C1C2=C(CCCC2)C(=O)N1c1nc[nH]n1,training,0
O=C(NCCCc1c[nH]c2ccccc12)c1cccc(Cl)c1,training,0
CCO[Si](OCC)(OCC)C(C)N1CCCC1=O,training,0
Cc1sc(S(N)(=O)=O)cc1S(N)(=O)=O,training,0
CC(=O)OP1(=O)OCC(C)(C)C[C@]1(C)O,training,0
Fc1ccc(C(c2ccccc2)(c2ccccc2F)n2ccnc2)cc1,training,0
Cc1ncc2c(=O)n(CCCN3CCN(c4cccc(Cl)c4)CC3)c(=S)n(-c3ccccc3)c2n1,training,0
NC1=NC2=NC(N)=NC3=NC(N)=NC(=N1)N23,training,0
CC[C@@H]1C(C)=NN=C(c2ccc(OC)c(OC)c2)c2cc(OC)c(OC)cc21,training,0
CCOC(=O)CC(=O)N1CCS[C@H]1COc1ccccc1OC,training,0
COc1ccc(-n2c(-c3ccc(C)cc3)cn3c4c(=O)n(C)c(=O)n(C)c4nc23)cc1,training,0
Cc1ccc(-c2cn3c4c(=O)n(C)c(=O)n(C)c4nc3n2-c2ccccc2)cc1,training,0
CC(C)[C@@H](C)[C@@]1(C(=O)NC(N)=O)C[C@H](C)OC1=O,training,0
O=C1CN2CCO[Si](c3cccc(F)c3)(OCC2)O1,training,0
CCOC(=O)CC(=O)N1CCS[C@@H]1COc1ccccc1OC,training,0
Cc1nc(NS(=O)(=O)c2ccc(N)cc2)oc1C,training,0
CS(=O)(=O)c1ccc(-c2cn3[nH]cnc3n2)cc1,training,0
NS(=O)(=O)c1cc2c(cc1C(F)(F)F)NC=NS2(=O)=O,training,0
COc1ccc(C(=O)Cn2c(N3CCCCC3)nc3c2c(=O)n(C)c(=O)n3C)cc1,training,0
CCOCCO,training,0
CCCC(=O)O[C@]1(C(=O)COC(=O)CC)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,training,0
CCSP1(=O)OC(C)(C)C[C@@]1(C)O,training,0
CC(C)(C=O)CO,training,0
O=C1c2ccccc2CN2C(=O)c3ccccc3CN12,training,0
COc1ncccc1C(=O)N[C@@H](CCC(=O)O)C(=O)O,training,0
CCC1(C[C@H](O)c2cccnc2)C(=O)NC(=O)NC1=O,training,0
Cc1ccc(S(=O)(=O)NC(=O)N[C@H]2[C@H]3CC[C@@](C)([C@H]2O)C3(C)C)cc1,training,0
Nc1ccc(S(=O)(=O)Nc2cccc[n+]2[O-])cc1,training,0
O=C(O)CCNC(=O)c1cccnc1Cl,training,0
Clc1cc(Cl)c2nc3c(c(N4CCOCC4)c2c1)CCCCC3,training,0
Cn1nc(S(N)(=O)=O)s/c1=N/C(=O)c1ccc(Cl)cc1,training,0
CCOc1ccc(-n2c(-c3ccc(OC)cc3)cn3c4c(=O)n(C)c(=O)n(C)c4nc23)cc1,training,0
O=c1[nH]cc(Br)c(=O)[nH]1,training,0
N[C@@H](CS)C(=O)O,training,0
NS(=O)(=O)c1cc2c(cc1Cl)N=CNS2(=O)=O,training,0
CC(=O)C(O)(O)C(=O)O,training,0
CCOC(=O)C[N+](=O)[O-],training,0
CCC(CC)(COC(N)=O)COC(N)=O,training,0
Cc1ccc(C(=O)Cn2c(N3CCCCC3)nc3c2c(=O)n(C)c(=O)n3C)cc1,training,0
Cc1ccc(-c2cn3c4c(=O)n(C)c(=O)n(C)c4nc3n2-c2ccc(C)cc2)cc1,training,0
CCOC(=O)[C@H]1CCOC1=O,training,0
Cn1c(=O)c2c(ncn2CCS(C)=O)n(C)c1=O,training,0
CCCCCCCCCCCCS(=O)C1CS(=O)(=O)CC1O,training,0
CN1CCN(C(=O)OC2c3nccnc3C(=O)N2c2ccc(Cl)cn2)CC1,training,0
CC(=O)OCCO,training,0
Cc1c(NC(=O)c2cccnc2)c(=O)n(-c2ccccc2)n1C,training,0
COC(=O)[C@@H]1CC(=O)O[C@@H]1c1ccccc1,training,0
COc1ccc2c(c1OC)C(=O)OC2[C@H]1c2c(cc3c(c2OC)OCO3)CC[N+]1(C)[O-],training,0
CC(C)C(O)=S,training,0
Clc1ccccc1CN1CCc2sccc2C1,training,0
COC(=O)Nc1nc2ccccc2[nH]1,training,0
CCC1(C[C@H](O)c2ccccc2)C(=O)NC(=O)NC1=O,training,0
Cc1ccc(-c2cn3c4c(=O)n(C)c(=O)n(C)c4nc3n2C2CCCCC2)cc1,training,0
O=[N+]([O-])c1cncn1CCN1CCOCC1,training,0
Cc1ccccc1C1CCCCC1=O,training,0
COc1ccc2c(c1OC)C(=O)OC2[C@@H]1c2c(cc3c(c2OC)OCO3)CC[N+]1(C)[O-],training,0
Cc1ncc2c(=O)nc(SCCCN3CCN(c4ccccc4)CC3)n(-c3ccccc3)c2n1,training,0
O=C(c1ccccc1)c1ccc(O)cc1,training,0
COc1cc(C(=O)N2CCOCC2)cc(OC)c1OC,training,0
OCC(O)COC1CCCCC1,training,0
CCCOP1(=O)OC(C)(C)C[C@]1(C)O,training,0
O=C1CCCO1,training,0
C[C@@]1([C@H](Br)[C@H](Br)c2ccccc2)NC(=O)N(CN2CCOCC2)C1=O,training,0
O=C(/C=N/N1CCCNC1=O)c1ccc([N+](=O)[O-])o1,training,0
OC(c1ccc(Cl)cc1)C1CCCCC1,training,0
O=C(COc1ccc(Cl)cc1Cl)NCCN1CCCOCC1,training,0
CC(C)C(C)(COC(N)=O)COC(N)=O,training,0
COc1cc2c3c(c1O)Oc1ccc(cc1)C[C@@H]1c4c(cc(OC)c(O)c4Oc4ccc(cc4)C[C@H]3N(C)CC2)CCN1C,training,0
O=C1OC(CN2CCOCC2)CN1/N=C/c1ccc([N+](=O)[O-])o1,training,0
O=C(N/N=C/c1ccc([N+](=O)[O-])o1)c1ccc(O)cc1,training,0
CC(=O)c1ccc(Oc2c(I)cc(C(=O)O)cc2I)cc1I,training,0
C=CCC1(C[C@@H](C)Br)C(=O)NC(=O)NC1=O,training,0
CSCCn1c(=O)oc2ccc(F)cc21,training,0
CN(C)C(=O)n1c(=O)oc2ccccc21,training,0
NC(=O)OCCCn1c(=O)oc2ccccc21,training,0
O=C1c2ccccc2C(=O)N1CCCn1c(=O)oc2cc(Br)c(Cl)cc21,training,0
O=C1CCCCC1C(O)c1ccc(Cl)cc1,training,0
c1ccc(-n2cc3c(c2)CCCC3)cc1,training,0
Fc1ccc(-c2cc(-c3ccccc3)c3nncn3n2)cc1,training,0
Cc1ccccc1NCc1nnc(-n2c(/C=C/c3ccccc3)nc3ccccc3c2=O)s1,training,0
Cc1ccccc1OCC(=O)N1CC1,training,0
O=c1[nH]cc([N+](=O)[O-])c(=O)n1CCNP(=S)(NCCn1c(=O)[nH]cc([N+](=O)[O-])c1=O)NCCn1c(=O)[nH]cc([N+](=O)[O-])c1=O,training,0
CCOC(=O)c1ccc(NC(=O)c2ccc(/N=C3/C(=O)Nc4ccc(Cl)cc43)cc2)cc1,training,0
CCCOC(=O)c1ccc(NC(=O)c2ccc(/N=C3/C(=O)N(C)c4ccc(Cl)cc43)cc2)cc1,training,0
CCOC(=O)c1ccc(NC(=O)c2ccc(/N=C3/C(=O)N(CN4CCOCC4)c4ccc(Cl)cc43)cc2)cc1,training,0
CCCOC(=O)c1ccc(NC(=O)c2ccc(/N=C3/C(=O)N(CN4CCOCC4)c4ccc(Cl)cc43)cc2)cc1,training,0
CCCCOC(=O)c1ccc(NC(=O)c2ccc(/N=C3/C(=O)N(CN4CCCCC4)c4ccc(Cl)cc43)cc2)cc1,training,0
C/C(=N/NC(=O)NS(=O)(=O)c1c(C)cc(C)c2c(C)cc(=O)oc12)c1ccc(O)cc1,training,0
Cc1cc(C)c2c(C)cc(=O)oc2c1S(=O)(=O)NC(=O)NN=C(c1ccccc1)c1ccccc1,training,0
CC(C)(C)OC(=O)N1C(C(N)=O)CSC1c1ccccc1,training,0
CCCc1nnc(N2C(=O)CC(c3ccccc3)(c3ccccc3)C2=O)s1,training,0
O=C1CC(c2ccccc2Cl)C(=O)N1C1CCCCC1,training,0
COC(=O)C[N+](=O)[O-],training,0
S=C1NC(c2ccccc2)(c2ccccc2)C(=S)N1CN1CCOCC1,training,0
CC(=O)c1cc2c(CO)cc(O)cc2oc1=O,training,0
CCN(CC)C(=O)[C@@]1(c2ccccc2)CCC(=O)O1,training,0
Cc1ncc2c(=O)nc(SCCCN3CCN(c4nccs4)CC3)n(-c3ccccc3)c2n1,training,0
CCOc1ccccc1N1C(=O)C2C3C=CC(C3)C2C1=O,training,0
O=C(COc1ccc(Cl)cc1Cl)NCCN1CCOCC1,training,0
CCCCCCSC1CS(=O)(=O)CC1O,training,0
O=[N+]([O-])OCCOCCOCCO[N+](=O)[O-],training,0
CC(=O)n1c(=O)oc2ccccc21,training,0
C[C@]1(c2ccccc2)OC[C@H](COC(N)=O)O1,training,0
C[C@]1(c2ccc(Br)cc2)OC[C@H](COC(N)=O)O1,training,0
CNC(=O)c1cc(OC)n(-c2cccc(Cl)c2)n1,training,0
COc1nc(C)nc(N)n1,training,0
CC1(/C=C/c2ccccc2)NC(=O)N(CN2CCOCC2)C1=O,training,0
Cc1ccc(B2OCC3(CO2)COB(c2ccc(C)cc2)OC3)cc1,training,0
CCCCOCCOCCO,training,0
O=C(COc1ccc(Cl)cc1)NCCN1CCCOCC1,training,0
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,training,0
Fc1ccccc1C1=NCC(=S)N(CC(F)(F)F)c2ccc(Cl)cc21,training,0
O=c1oc2ccc(Cl)cc2n1CN1CCOCC1,training,0
O=C(COc1ccccc1Cl)N1CC1,training,0
